trial_no,param_hash,params,objective_score,valid_ratio_p925,train_ratio_p925,train_valid_gap,spearman_rho,decile_monotonicity,valid_rmse,train_rmse,valid_mae,elapsed_s,best_iteration,p_num_leaves,p_max_depth,p_min_child_samples,p_min_child_weight,p_min_split_gain,p_reg_alpha,p_reg_lambda,p_subsample,p_colsample_bytree,p_learning_rate,p_max_bin,p_path_smooth,p_extra_trees
1,c5f3a2356489cf32,"{'num_leaves': 8, 'max_depth': -1, 'min_child_samples': 7159, 'min_child_weight': 0.03142880890840111, 'min_split_gain': 1.2087541473056957e-05, 'reg_alpha': 0.0070689749506246055, 'reg_lambda': 2.310201887845293, 'subsample': 0.5417022549267169, 'colsample_bytree': 0.5325453457757225, 'learning_rate': 0.016738881542579662, 'max_bin': 63, 'path_smooth': 0.2801635158716261, 'extra_trees': True}",-1.906004893490608,1.906004893490608,2.2618792712553075,0.3558743777646993,0.2534514863340464,1.0,0.0110013092780565,0.0161221081010134,0.0093534027223495,3.6,990,8,-1,7159,0.0314288089084011,1.2087541473056955e-05,0.0070689749506246,2.310201887845293,0.5417022549267169,0.5325453457757225,0.0167388815425796,63,0.2801635158716261,True
2,cda69e234efcd633,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 6625, 'min_child_weight': 0.07886714129990492, 'min_split_gain': 0.0, 'reg_alpha': 1.7123375973163988, 'reg_lambda': 4.066563313514794, 'subsample': 0.49883605700319195, 'colsample_bytree': 0.760539815907294, 'learning_rate': 0.013775979824755383, 'max_bin': 127, 'path_smooth': 0.0013726318898045872, 'extra_trees': False}",-1.8944414854957448,1.8944414854957448,2.2922066908258416,0.3977652053300968,0.2596764781928196,0.8888888888888888,0.0108251957840433,0.016104126269641,0.0092029966128121,3.9,995,4,2,6625,0.0788671412999049,0.0,1.7123375973163988,4.066563313514794,0.4988360570031919,0.760539815907294,0.0137759798247553,127,0.0013726318898045,False
3,1c8b5fdac1c84884,"{'num_leaves': 21, 'max_depth': 5, 'min_child_samples': 5996, 'min_child_weight': 0.00018427970406864567, 'min_split_gain': 0.0, 'reg_alpha': 0.006080390190296602, 'reg_lambda': 1.231557172366602, 'subsample': 0.6126651653816322, 'colsample_bytree': 0.5832063738136892, 'learning_rate': 0.009339401285535344, 'max_bin': 63, 'path_smooth': 0.013296521457299506, 'extra_trees': False}",-1.944307963304389,1.944307963304389,2.5285658278019576,0.5842578644975687,0.2714689984852878,1.0,0.0103238538197269,0.0160694312374798,0.0086965545632768,10.4,2508,21,5,5996,0.0001842797040686,0.0,0.0060803901902966,1.231557172366602,0.6126651653816322,0.5832063738136892,0.0093394012855353,63,0.0132965214572995,False
4,12da091a79005208,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 749, 'min_child_weight': 0.00022264204303769702, 'min_split_gain': 1.97778285124627e-05, 'reg_alpha': 2.8340904295147746, 'reg_lambda': 17.643967683381547, 'subsample': 0.6154490124263245, 'colsample_bytree': 0.38813501017161417, 'learning_rate': 0.010231806681740804, 'max_bin': 127, 'path_smooth': 0.35500125258511606, 'extra_trees': False}",-1.950532227852498,1.950532227852498,2.660677501831803,0.7101452739793048,0.2912817473664806,1.0,0.0095361372963409,0.015932587353794,0.0080043857376114,7.6,1987,4,2,749,0.0002226420430376,1.97778285124627e-05,2.834090429514774,17.643967683381547,0.6154490124263245,0.3881350101716141,0.0102318066817408,127,0.355001252585116,False
5,f329409d537c92a4,"{'num_leaves': 4, 'max_depth': 4, 'min_child_samples': 2090, 'min_child_weight': 0.0008771380343280567, 'min_split_gain': 1.3357240411974104e-05, 'reg_alpha': 0.1082138291061399, 'reg_lambda': 65.33305220227733, 'subsample': 0.5746461145744375, 'colsample_bytree': 0.5962297538213778, 'learning_rate': 0.028478764407599208, 'max_bin': 63, 'path_smooth': 0.014421346497969485, 'extra_trees': True}",-1.9343532733049649,1.9343532733049649,2.6373681461740355,0.7030148728690706,0.2896953809001601,1.0,0.0098215702953337,0.0159766602493708,0.008222979478443,5.0,968,4,4,2090,0.000877138034328,1.3357240411974104e-05,0.1082138291061399,65.33305220227733,0.5746461145744375,0.5962297538213778,0.0284787644075992,63,0.0144213464979694,True
6,74fec5da1a93091b,"{'num_leaves': 32, 'max_depth': 5, 'min_child_samples': 299, 'min_child_weight': 0.00048284249748183273, 'min_split_gain': 0.0, 'reg_alpha': 0.05110120656497164, 'reg_lambda': 43.25432427964556, 'subsample': 0.8803652916281717, 'colsample_bytree': 0.3541712783187144, 'learning_rate': 0.016207547643136366, 'max_bin': 63, 'path_smooth': 0.0030162092627967776, 'extra_trees': True}",-1.997435316099731,1.997435316099731,2.727344191587659,0.7299088754879284,0.2957142940120413,1.0,0.0092544600253976,0.015261484648318,0.0077722337658677,7.4,1098,32,5,299,0.0004828424974818,0.0,0.0511012065649716,43.25432427964556,0.8803652916281717,0.3541712783187144,0.0162075476431363,63,0.0030162092627967,True
7,d29eb08e86abfb40,"{'num_leaves': 7, 'max_depth': 4, 'min_child_samples': 229, 'min_child_weight': 0.0067405137963740475, 'min_split_gain': 0.0, 'reg_alpha': 0.10249816559563214, 'reg_lambda': 1.2675278269816292, 'subsample': 0.5893232321183057, 'colsample_bytree': 0.8949595315799922, 'learning_rate': 0.00868024323489815, 'max_bin': 127, 'path_smooth': 8.761971101023693, 'extra_trees': True}",-1.9307118882107253,1.9307118882107253,2.70113974112646,0.7704278529157345,0.2941949915477319,1.0,0.0093926762834582,0.0157791216187775,0.0078915025200427,16.2,2186,7,4,229,0.006740513796374,0.0,0.1024981655956321,1.2675278269816292,0.5893232321183057,0.8949595315799922,0.0086802432348981,127,8.761971101023693,True
8,0c6426c63046943f,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 397, 'min_child_weight': 0.0001325334260006654, 'min_split_gain': 0.0, 'reg_alpha': 0.2309786149269357, 'reg_lambda': 22.65315641394886, 'subsample': 0.4582939144639281, 'colsample_bytree': 0.6572558349795685, 'learning_rate': 0.008422980195004657, 'max_bin': 63, 'path_smooth': 0.5804314717414073, 'extra_trees': True}",-1.9411540820109563,1.9411540820109563,2.6395350040883114,0.6983809220773549,0.2917915038268884,1.0,0.0096316992635935,0.0159457759309645,0.0080938119685912,9.8,2349,4,2,397,0.0001325334260006,0.0,0.2309786149269357,22.65315641394886,0.4582939144639281,0.6572558349795685,0.0084229801950046,63,0.5804314717414073,True
9,6538f897277bf0f9,"{'num_leaves': 4, 'max_depth': 3, 'min_child_samples': 487, 'min_child_weight': 0.00019024283247489598, 'min_split_gain': 0.0, 'reg_alpha': 3.8802797007866876, 'reg_lambda': 63.217324901440215, 'subsample': 0.766550728636634, 'colsample_bytree': 0.5534178746292204, 'learning_rate': 0.01117325161547258, 'max_bin': 127, 'path_smooth': 3.534644144196584, 'extra_trees': False}",-1.9306171759438489,1.9306171759438489,2.654297025081511,0.7236798491376624,0.2927193745660793,1.0,0.0095684647666423,0.0158036279353129,0.0080885904422487,5.5,986,4,3,487,0.0001902428324748,0.0,3.880279700786688,63.217324901440215,0.766550728636634,0.5534178746292204,0.0111732516154725,127,3.534644144196584,False
10,ffc8c0446623c159,"{'num_leaves': 3, 'max_depth': 2, 'min_child_samples': 2214, 'min_child_weight': 0.0004707690774317695, 'min_split_gain': 0.005855726588796253, 'reg_alpha': 0.7058572590901792, 'reg_lambda': 2.9819350171149352, 'subsample': 0.6126998490796338, 'colsample_bytree': 0.7978948430708144, 'learning_rate': 0.02231530892246258, 'max_bin': 63, 'path_smooth': 0.18760068220300655, 'extra_trees': True}",-1.935650316649692,1.935650316649692,2.6491668361246794,0.7135165194749875,0.2852976624167948,1.0,0.0098120635736911,0.0160014669425594,0.0081983460829807,6.0,1164,3,2,2214,0.0004707690774317,0.0058557265887962,0.7058572590901792,2.9819350171149352,0.6126998490796338,0.7978948430708144,0.0223153089224625,63,0.1876006822030065,True
