trial_no,param_hash,params,objective_score,valid_ratio_p925,train_ratio_p925,train_valid_gap,spearman_rho,decile_monotonicity,valid_rmse,train_rmse,valid_mae,elapsed_s,best_iteration,p_num_leaves,p_max_depth,p_min_child_samples,p_min_child_weight,p_min_split_gain,p_reg_alpha,p_reg_lambda,p_subsample,p_colsample_bytree,p_learning_rate,p_max_bin,p_path_smooth,p_extra_trees
1,17bfccbb0db03314,"{'num_leaves': 8, 'max_depth': -1, 'min_child_samples': 7159, 'min_child_weight': 0.03142880890840111, 'min_split_gain': 1.2087541473056957e-05, 'reg_alpha': 0.0070689749506246055, 'reg_lambda': 2.310201887845293, 'subsample': 0.5417022549267169, 'colsample_bytree': 0.5325453457757225, 'learning_rate': 0.016738881542579662, 'max_bin': 63, 'path_smooth': 0.2801635158716261, 'extra_trees': True}",-1.9420964664493283,1.9420964664493283,1.9890537519670213,0.0469572855176929,0.2522852178338103,1.0,0.011170769484738,0.0162352168099693,0.0095646275990062,1.2,758,8,-1,7159,0.0314288089084011,1.2087541473056955e-05,0.0070689749506246,2.310201887845293,0.5417022549267169,0.5325453457757225,0.0167388815425796,63,0.2801635158716261,True
2,61d819788bddef52,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 6625, 'min_child_weight': 0.07886714129990492, 'min_split_gain': 0.0, 'reg_alpha': 1.7123375973163988, 'reg_lambda': 4.066563313514794, 'subsample': 0.49883605700319195, 'colsample_bytree': 0.760539815907294, 'learning_rate': 0.013775979824755383, 'max_bin': 127, 'path_smooth': 0.0013726318898045872, 'extra_trees': False}",-1.9201889277589808,1.9201889277589808,2.008898082619811,0.0887091548608296,0.2579007654288122,1.0,0.0109293011960186,0.0162214591336173,0.0093420307845844,1.5,827,4,2,6625,0.0788671412999049,0.0,1.7123375973163988,4.066563313514794,0.4988360570031919,0.760539815907294,0.0137759798247553,127,0.0013726318898045,False
3,5673d2e25f79dcae,"{'num_leaves': 21, 'max_depth': 5, 'min_child_samples': 5996, 'min_child_weight': 0.00018427970406864567, 'min_split_gain': 0.0, 'reg_alpha': 0.006080390190296602, 'reg_lambda': 1.231557172366602, 'subsample': 0.6126651653816322, 'colsample_bytree': 0.5832063738136892, 'learning_rate': 0.009339401285535344, 'max_bin': 63, 'path_smooth': 0.013296521457299506, 'extra_trees': False}",-1.9390911572452028,1.9390911572452028,2.3242973551879627,0.3852061979427599,0.267520460751842,1.0,0.0105687592588341,0.0162002833644902,0.0089737392164228,1.9,975,21,5,5996,0.0001842797040686,0.0,0.0060803901902966,1.231557172366602,0.6126651653816322,0.5832063738136892,0.0093394012855353,63,0.0132965214572995,False
4,e75115fc441bc921,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 749, 'min_child_weight': 0.00022264204303769702, 'min_split_gain': 1.97778285124627e-05, 'reg_alpha': 2.8340904295147746, 'reg_lambda': 17.643967683381547, 'subsample': 0.6154490124263245, 'colsample_bytree': 0.38813501017161417, 'learning_rate': 0.010231806681740804, 'max_bin': 127, 'path_smooth': 0.35500125258511606, 'extra_trees': False}",-1.91681315729107,1.91681315729107,2.610772580509711,0.6939594232186408,0.2920173583947484,1.0,0.0099439295511729,0.0162441898018259,0.0084366930751525,2.1,991,4,2,749,0.0002226420430376,1.97778285124627e-05,2.834090429514774,17.643967683381547,0.6154490124263245,0.3881350101716141,0.0102318066817408,127,0.355001252585116,False
5,a6ab9f1c8ea455aa,"{'num_leaves': 4, 'max_depth': 4, 'min_child_samples': 2090, 'min_child_weight': 0.0008771380343280567, 'min_split_gain': 1.3357240411974104e-05, 'reg_alpha': 0.1082138291061399, 'reg_lambda': 65.33305220227733, 'subsample': 0.5746461145744375, 'colsample_bytree': 0.5962297538213778, 'learning_rate': 0.028478764407599208, 'max_bin': 63, 'path_smooth': 0.014421346497969485, 'extra_trees': True}",-1.926335357672912,1.926335357672912,2.608704980925329,0.6823696232524168,0.2911685288015926,1.0,0.0101420481605803,0.0161667329667935,0.0085213594843724,2.1,989,4,4,2090,0.000877138034328,1.3357240411974104e-05,0.1082138291061399,65.33305220227733,0.5746461145744375,0.5962297538213778,0.0284787644075992,63,0.0144213464979694,True
6,13dbc8387a116531,"{'num_leaves': 32, 'max_depth': 5, 'min_child_samples': 299, 'min_child_weight': 0.00048284249748183273, 'min_split_gain': 0.0, 'reg_alpha': 0.05110120656497164, 'reg_lambda': 43.25432427964556, 'subsample': 0.8803652916281717, 'colsample_bytree': 0.3541712783187144, 'learning_rate': 0.016207547643136366, 'max_bin': 63, 'path_smooth': 0.0030162092627967776, 'extra_trees': True}",-1.91757880459686,1.91757880459686,2.6052047003697494,0.68762589577289,0.2932261995810589,1.0,0.0099555973123883,0.0162540984681746,0.0084149796315164,3.0,1075,32,5,299,0.0004828424974818,0.0,0.0511012065649716,43.25432427964556,0.8803652916281717,0.3541712783187144,0.0162075476431363,63,0.0030162092627967,True
7,11c7d9e5be3148dc,"{'num_leaves': 7, 'max_depth': 4, 'min_child_samples': 229, 'min_child_weight': 0.0067405137963740475, 'min_split_gain': 0.0, 'reg_alpha': 0.10249816559563214, 'reg_lambda': 1.2675278269816292, 'subsample': 0.5893232321183057, 'colsample_bytree': 0.8949595315799922, 'learning_rate': 0.00868024323489815, 'max_bin': 127, 'path_smooth': 8.761971101023693, 'extra_trees': True}",-1.9124656812691727,1.9124656812691727,2.6060410887535297,0.6935754074843563,0.2942959182350692,1.0,0.0099375117485708,0.0162867126053184,0.0084242689819053,2.2,826,7,4,229,0.006740513796374,0.0,0.1024981655956321,1.2675278269816292,0.5893232321183057,0.8949595315799922,0.0086802432348981,127,8.761971101023693,True
8,b4c157e1ac461eec,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 397, 'min_child_weight': 0.0001325334260006654, 'min_split_gain': 0.0, 'reg_alpha': 0.2309786149269357, 'reg_lambda': 22.65315641394886, 'subsample': 0.4582939144639281, 'colsample_bytree': 0.6572558349795685, 'learning_rate': 0.008422980195004657, 'max_bin': 63, 'path_smooth': 0.5804314717414073, 'extra_trees': True}",-1.9172962775712208,1.9172962775712208,2.5909289402461027,0.6736326626748821,0.2942680834122527,1.0,0.0099763888055932,0.0162248147670976,0.0084511336513068,3.1,1519,4,2,397,0.0001325334260006,0.0,0.2309786149269357,22.65315641394886,0.4582939144639281,0.6572558349795685,0.0084229801950046,63,0.5804314717414073,True
9,cd0d86698f84c8aa,"{'num_leaves': 4, 'max_depth': 3, 'min_child_samples': 487, 'min_child_weight': 0.00019024283247489598, 'min_split_gain': 0.0, 'reg_alpha': 3.8802797007866876, 'reg_lambda': 63.217324901440215, 'subsample': 0.766550728636634, 'colsample_bytree': 0.5534178746292204, 'learning_rate': 0.01117325161547258, 'max_bin': 127, 'path_smooth': 3.534644144196584, 'extra_trees': False}",-1.913228592362216,1.913228592362216,2.623452493054729,0.7102239006925135,0.2933452580268567,1.0,0.0099468015915822,0.0161849091282845,0.0084532956887948,1.4,586,4,3,487,0.0001902428324748,0.0,3.880279700786688,63.217324901440215,0.766550728636634,0.5534178746292204,0.0111732516154725,127,3.534644144196584,False
10,777742190fb5c87d,"{'num_leaves': 3, 'max_depth': 2, 'min_child_samples': 2214, 'min_child_weight': 0.0004707690774317695, 'min_split_gain': 0.005855726588796253, 'reg_alpha': 0.7058572590901792, 'reg_lambda': 2.9819350171149352, 'subsample': 0.6126998490796338, 'colsample_bytree': 0.7978948430708144, 'learning_rate': 0.02231530892246258, 'max_bin': 63, 'path_smooth': 0.18760068220300655, 'extra_trees': True}",-1.9398073339507027,1.9398073339507027,2.611012314636067,0.6712049806853644,0.2930442116696081,1.0,0.0101461150620658,0.0161508343847202,0.0085457102136773,1.3,548,3,2,2214,0.0004707690774317,0.0058557265887962,0.7058572590901792,2.9819350171149352,0.6126998490796338,0.7978948430708144,0.0223153089224625,63,0.1876006822030065,True
