trial_no,param_hash,params,objective_score,mean_top10_lift,std_top10_lift,mean_spearman_rho,mean_decile_monotonicity,mean_valid_rmse,std_valid_rmse,mean_train_rmse,mean_valid_mae,elapsed_s,p_num_leaves,p_max_depth,p_min_child_samples,p_min_child_weight,p_min_split_gain,p_reg_alpha,p_reg_lambda,p_subsample,p_colsample_bytree,p_learning_rate,p_max_bin,p_path_smooth,p_extra_trees,valid_top10_lift,train_top10_lift,train_valid_gap,spearman_rho,decile_monotonicity,valid_rmse,train_rmse,valid_mae,best_iteration
1,cde74e0b29366f14,"{'num_leaves': 6, 'max_depth': -1, 'min_child_samples': 7159, 'min_child_weight': 0.03142880890840111, 'min_split_gain': 1.2087541473056957e-05, 'reg_alpha': 0.0070689749506246055, 'reg_lambda': 2.310201887845293, 'subsample': 0.5417022549267169, 'colsample_bytree': 0.5325453457757225, 'learning_rate': 0.016738881542579662, 'max_bin': 63, 'path_smooth': 0.2801635158716261, 'extra_trees': True}",-0.0027801910375445,0.0029937931289189,0.0004272041827487,0.2771857139689903,0.9444444444444444,0.0078025423763959,0.0008788607116132,0.0104289986932285,0.0050361345280207,1.9,6,-1,7159,0.0314288089084011,1.2087541473056955e-05,0.0070689749506246,2.310201887845293,0.5417022549267169,0.5325453457757225,0.0167388815425796,63,0.2801635158716261,True,,,,,,,,,
2,e8ca0b4a88ff4c43,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 6625, 'min_child_weight': 0.07886714129990492, 'min_split_gain': 0.0, 'reg_alpha': 1.7123375973163988, 'reg_lambda': 4.066563313514794, 'subsample': 0.49883605700319195, 'colsample_bytree': 0.760539815907294, 'learning_rate': 0.013775979824755383, 'max_bin': 127, 'path_smooth': 0.0013726318898045872, 'extra_trees': False}",-0.0026929476002883,0.0029241096275565,0.0004623240545362,0.2815625803509097,0.9444444444444444,0.0077700719697326,0.0008830927854109,0.0103772032459972,0.004988494959486,2.1,4,2,6625,0.0788671412999049,0.0,1.7123375973163988,4.066563313514794,0.4988360570031919,0.760539815907294,0.0137759798247553,127,0.0013726318898045,False,,,,,,,,,
3,1fe05e25aafec123,"{'num_leaves': 13, 'max_depth': 5, 'min_child_samples': 5996, 'min_child_weight': 0.00018427970406864567, 'min_split_gain': 0.0, 'reg_alpha': 0.006080390190296602, 'reg_lambda': 1.231557172366602, 'subsample': 0.6126651653816322, 'colsample_bytree': 0.5832063738136892, 'learning_rate': 0.009339401285535344, 'max_bin': 63, 'path_smooth': 0.013296521457299506, 'extra_trees': False}",-0.0026942114878341,0.0029110111911926,0.0004335994067171,0.2836066746964656,1.0,0.0077198374970408,0.0008959950149036,0.0102561175136593,0.0049314306757469,4.6,13,5,5996,0.0001842797040686,0.0,0.0060803901902966,1.231557172366602,0.6126651653816322,0.5832063738136892,0.0093394012855353,63,0.0132965214572995,False,,,,,,,,,
4,c201dc6fa6ac7929,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 749, 'min_child_weight': 0.00022264204303769702, 'min_split_gain': 1.97778285124627e-05, 'reg_alpha': 2.8340904295147746, 'reg_lambda': 17.643967683381547, 'subsample': 0.6154490124263245, 'colsample_bytree': 0.38813501017161417, 'learning_rate': 0.010231806681740804, 'max_bin': 127, 'path_smooth': 0.35500125258511606, 'extra_trees': False}",-0.0027030690580516,0.0029800399548397,0.0005539417935762,0.2887064889472129,1.0,0.007654915166819,0.0009333067248018,0.0100322604457621,0.0048494245053154,4.6,4,2,749,0.0002226420430376,1.97778285124627e-05,2.834090429514774,17.643967683381547,0.6154490124263245,0.3881350101716141,0.0102318066817408,127,0.355001252585116,False,,,,,,,,,
5,4782084903813dbc,"{'num_leaves': 3, 'max_depth': 4, 'min_child_samples': 2090, 'min_child_weight': 0.0008771380343280567, 'min_split_gain': 1.3357240411974104e-05, 'reg_alpha': 0.1082138291061399, 'reg_lambda': 65.33305220227733, 'subsample': 0.5746461145744375, 'colsample_bytree': 0.5962297538213778, 'learning_rate': 0.028478764407599208, 'max_bin': 63, 'path_smooth': 0.014421346497969485, 'extra_trees': True}",-0.002850539374445,0.0030147902179877,0.0003285016870853,0.2906688474305369,1.0,0.0076611642121828,0.0009051188946561,0.0101085494188573,0.0048828140454155,4.1,3,4,2090,0.000877138034328,1.3357240411974104e-05,0.1082138291061399,65.33305220227733,0.5746461145744375,0.5962297538213778,0.0284787644075992,63,0.0144213464979694,True,,,,,,,,,
6,e9a904cdc58d3961,"{'num_leaves': 8, 'max_depth': -1, 'min_child_samples': 7159, 'min_child_weight': 0.03142880890840111, 'min_split_gain': 1.2087541473056957e-05, 'reg_alpha': 0.0070689749506246055, 'reg_lambda': 2.310201887845293, 'subsample': 0.5417022549267169, 'colsample_bytree': 0.5325453457757225, 'learning_rate': 0.016738881542579662, 'max_bin': 63, 'path_smooth': 0.2801635158716261, 'extra_trees': True}",-0.002108354005075,,,,,,,,,4.8,8,-1,7159,0.0314288089084011,1.2087541473056955e-05,0.0070689749506246,2.310201887845293,0.5417022549267169,0.5325453457757225,0.0167388815425796,63,0.2801635158716261,True,0.002108354005075,0.0044565380776706,0.0023481840725955,0.269499188278894,1.0,0.0067814019025741,0.0104350175073691,0.0038803462677425,1447.0
8,86915997ffcddfdf,"{'num_leaves': 21, 'max_depth': 5, 'min_child_samples': 5996, 'min_child_weight': 0.00018427970406864567, 'min_split_gain': 0.0, 'reg_alpha': 0.006080390190296602, 'reg_lambda': 1.231557172366602, 'subsample': 0.6126651653816322, 'colsample_bytree': 0.5832063738136892, 'learning_rate': 0.009339401285535344, 'max_bin': 63, 'path_smooth': 0.013296521457299506, 'extra_trees': False}",-0.0019591453051843,,,,,,,,,7.9,21,5,5996,0.0001842797040686,0.0,0.0060803901902966,1.231557172366602,0.6126651653816322,0.5832063738136892,0.0093394012855353,63,0.0132965214572995,False,0.0019591453051843,0.0044833317079213,0.0025241864027369,0.2721455596927331,0.8888888888888888,0.006742625054391,0.0102802094586916,0.0038444658908582,2231.0
10,77dc7eb99a33cbe4,"{'num_leaves': 4, 'max_depth': 4, 'min_child_samples': 2090, 'min_child_weight': 0.0008771380343280567, 'min_split_gain': 1.3357240411974104e-05, 'reg_alpha': 0.1082138291061399, 'reg_lambda': 65.33305220227733, 'subsample': 0.5746461145744375, 'colsample_bytree': 0.5962297538213778, 'learning_rate': 0.028478764407599208, 'max_bin': 63, 'path_smooth': 0.014421346497969485, 'extra_trees': True}",-0.0022623022208309,,,,,,,,,2.7,4,4,2090,0.000877138034328,1.3357240411974104e-05,0.1082138291061399,65.33305220227733,0.5746461145744375,0.5962297538213778,0.0284787644075992,63,0.0144213464979694,True,0.0022623022208309,0.0046595723923992,0.0023972701715683,0.2965869061314499,1.0,0.0067140286548605,0.0101227422385258,0.0037889796616975,664.0
11,e9c52da39ed93c15,"{'num_leaves': 32, 'max_depth': 5, 'min_child_samples': 299, 'min_child_weight': 0.00048284249748183273, 'min_split_gain': 0.0, 'reg_alpha': 0.05110120656497164, 'reg_lambda': 43.25432427964556, 'subsample': 0.8803652916281717, 'colsample_bytree': 0.3541712783187144, 'learning_rate': 0.016207547643136366, 'max_bin': 63, 'path_smooth': 0.0030162092627967776, 'extra_trees': True}",-0.002578962186682,,,,,,,,,5.0,32,5,299,0.0004828424974818,0.0,0.0511012065649716,43.25432427964556,0.8803652916281717,0.3541712783187144,0.0162075476431363,63,0.0030162092627967,True,0.002578962186682,0.0047987305853608,0.0022197683986787,0.3052272397675631,1.0,0.006708514706323,0.009810821068505,0.0037579036814494,820.0
12,14d8d71175a525d5,"{'num_leaves': 7, 'max_depth': 4, 'min_child_samples': 229, 'min_child_weight': 0.0067405137963740475, 'min_split_gain': 0.0, 'reg_alpha': 0.10249816559563214, 'reg_lambda': 1.2675278269816292, 'subsample': 0.5893232321183057, 'colsample_bytree': 0.8949595315799922, 'learning_rate': 0.00868024323489815, 'max_bin': 127, 'path_smooth': 8.761971101023693, 'extra_trees': True}",-0.0023813413059493,,,,,,,,,14.1,7,4,229,0.006740513796374,0.0,0.1024981655956321,1.2675278269816292,0.5893232321183057,0.8949595315799922,0.0086802432348981,127,8.761971101023693,True,0.0023813413059493,0.004738084069218,0.0023567427632686,0.3018959983009459,1.0,0.006708360170151,0.0097882242121881,0.0037650173577747,2147.0
