trial_no,param_hash,params,feature_k,objective_score,valid_ratio_p925,train_ratio_p925,train_valid_gap,spearman_rho,decile_monotonicity,valid_rmse,train_rmse,valid_mae,elapsed_s,best_iteration,p_num_leaves,p_max_depth,p_min_child_samples,p_min_child_weight,p_min_split_gain,p_reg_alpha,p_reg_lambda,p_subsample,p_colsample_bytree,p_learning_rate,p_max_bin,p_path_smooth,p_extra_trees,p_feature_k
1,a0b5e998b3f00110,"{'num_leaves': 8, 'max_depth': -1, 'min_child_samples': 7159, 'min_child_weight': 0.03142880890840111, 'min_split_gain': 1.2087541473056957e-05, 'reg_alpha': 0.0070689749506246055, 'reg_lambda': 2.310201887845293, 'subsample': 0.5417022549267169, 'colsample_bytree': 0.5325453457757225, 'learning_rate': 0.016738881542579662, 'max_bin': 63, 'path_smooth': 0.2801635158716261, 'extra_trees': True, 'feature_k': 9}",9,-0.9012252704904392,0.0,0.0,0.0693382594803783,-0.0111276125270927,0.4444444444444444,0.0085548765400562,0.0135886205862273,0.0050129654111386,0.7,211,8,-1,7159,0.0314288089084011,1.2087541473056955e-05,0.0070689749506246,2.310201887845293,0.5417022549267169,0.5325453457757225,0.0167388815425796,63,0.2801635158716261,True,9
2,7ca53848f20b92b6,"{'num_leaves': 11, 'max_depth': -1, 'min_child_samples': 3944, 'min_child_weight': 0.0008200518402245837, 'min_split_gain': 0.07286653737491042, 'reg_alpha': 0.002458603276328005, 'reg_lambda': 23.359635026261596, 'subsample': 0.6700762468698006, 'colsample_bytree': 0.4232229409068673, 'learning_rate': 0.015636765183901856, 'max_bin': 127, 'path_smooth': 0.010842262717330166, 'extra_trees': False, 'feature_k': 15}",15,-0.940072499134886,0.0,0.0,0.0338227673248696,-0.0079507222056279,0.5555555555555556,0.0085550898564312,0.0135962624353608,0.0050110342774562,0.7,88,11,-1,3944,0.0008200518402245,0.0728665373749104,0.002458603276328,23.3596350262616,0.6700762468698006,0.4232229409068673,0.0156367651839018,127,0.0108422627173301,False,15
3,fa633b64108ef674,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 663, 'min_child_weight': 0.001465655388622534, 'min_split_gain': 1.5167330688076188e-05, 'reg_alpha': 0.01217295809836997, 'reg_lambda': 45.44383960336016, 'subsample': 0.6283766633467947, 'colsample_bytree': 0.5185607058124284, 'learning_rate': 0.017444803725696106, 'max_bin': 127, 'path_smooth': 0.0019870215385428634, 'extra_trees': False, 'feature_k': 5}",5,-1.0362718802652549,0.0,0.0,-0.0413227359996055,0.0119070712835193,0.4444444444444444,0.0085578376792259,0.0135912136912544,0.0050171030104794,0.4,67,4,2,663,0.0014656553886225,1.5167330688076188e-05,0.0121729580983699,45.44383960336016,0.6283766633467947,0.5185607058124284,0.0174448037256961,127,0.0019870215385428,False,5
4,31a97b3b5f4e8376,"{'num_leaves': 3, 'max_depth': -1, 'min_child_samples': 677, 'min_child_weight': 0.0001551225912648476, 'min_split_gain': 0.0, 'reg_alpha': 0.017535949529764425, 'reg_lambda': 4.4706085467784895, 'subsample': 0.814803089169032, 'colsample_bytree': 0.7325344828131278, 'learning_rate': 0.038564059735781746, 'max_bin': 63, 'path_smooth': 0.7128188058401367, 'extra_trees': False, 'feature_k': 36}",36,-1.1385289459155767,0.0,0.0,-0.0617785729886339,0.0061847682688044,0.4444444444444444,0.0085528772082864,0.0136029826494469,0.0050041211156472,0.7,83,3,-1,677,0.0001551225912648,0.0,0.0175359495297644,4.4706085467784895,0.814803089169032,0.7325344828131278,0.0385640597357817,63,0.7128188058401367,False,36
5,9c779c3d0bc1c93f,"{'num_leaves': 12, 'max_depth': 6, 'min_child_samples': 908, 'min_child_weight': 0.01847793417351926, 'min_split_gain': 9.935023909063687e-05, 'reg_alpha': 0.008226074946221037, 'reg_lambda': 1.4254757044027435, 'subsample': 0.594875726456884, 'colsample_bytree': 0.4467327723524026, 'learning_rate': 0.04252728490529761, 'max_bin': 63, 'path_smooth': 3.06085221067225, 'extra_trees': False, 'feature_k': 54}",54,-1.1950422650129666,0.0,0.0,-0.1067081541498631,0.0269561083781373,0.6666666666666666,0.0085459953575851,0.0135999242190345,0.0049942537262917,2.5,45,12,6,908,0.0184779341735192,9.935023909063689e-05,0.008226074946221,1.4254757044027435,0.594875726456884,0.4467327723524026,0.0425272849052976,63,3.06085221067225,False,54
6,bba065ceefca93ab,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 1314, 'min_child_weight': 0.001787446325623842, 'min_split_gain': 0.0, 'reg_alpha': 0.007734482156646798, 'reg_lambda': 1.7367237151593158, 'subsample': 0.6188075857018139, 'colsample_bytree': 0.9157458223475115, 'learning_rate': 0.010523808491663062, 'max_bin': 127, 'path_smooth': 0.02847858516856297, 'extra_trees': False, 'feature_k': 6}",6,-1.0005902937744864,0.0,0.0,0.091734422104847,0.0121826210697578,0.4444444444444444,0.0085595344444515,0.0135932696492213,0.0050211540678399,0.4,71,4,2,1314,0.0017874463256238,0.0,0.0077344821566467,1.7367237151593158,0.6188075857018139,0.9157458223475116,0.010523808491663,127,0.0284785851685629,False,6
7,4acd72c474a633eb,"{'num_leaves': 12, 'max_depth': 4, 'min_child_samples': 341, 'min_child_weight': 0.002940074130903307, 'min_split_gain': 0.0, 'reg_alpha': 8.761971101023693, 'reg_lambda': 3.0486708834580667, 'subsample': 0.7860677737029392, 'colsample_bytree': 0.8069717691972305, 'learning_rate': 0.008641866406575374, 'max_bin': 63, 'path_smooth': 0.3382387201936217, 'extra_trees': False, 'feature_k': 3}",3,-1.0590533565533984,0.0,0.0,-0.0395162252272969,0.0029747389730357,0.4444444444444444,0.0085573285391556,0.013590860865321,0.0050152973506898,1.5,124,12,4,341,0.0029400741309033,0.0,8.761971101023693,3.0486708834580667,0.7860677737029392,0.8069717691972305,0.0086418664065753,63,0.3382387201936217,False,3
8,ef8a20ed4105a7f2,"{'num_leaves': 32, 'max_depth': 5, 'min_child_samples': 2556, 'min_child_weight': 0.0014461256820152153, 'min_split_gain': 4.9827112000811324e-05, 'reg_alpha': 5.583672722754823, 'reg_lambda': 1.8838307787619746, 'subsample': 0.6205331755251292, 'colsample_bytree': 0.4180841127443534, 'learning_rate': 0.04204008859772418, 'max_bin': 63, 'path_smooth': 0.4364516946807793, 'extra_trees': False, 'feature_k': 16}",16,-0.9815121829042488,0.0,0.0,-0.0029789447205569,-0.0128294510478913,0.2222222222222222,0.0085558927309119,0.0135980741083077,0.0050101643931369,0.4,38,32,5,2556,0.0014461256820152,4.982711200081133e-05,5.583672722754823,1.8838307787619744,0.6205331755251292,0.4180841127443534,0.0420400885977241,63,0.4364516946807793,False,16
9,7e7a6c40b3ebd9d6,"{'num_leaves': 5, 'max_depth': 3, 'min_child_samples': 3550, 'min_child_weight': 0.008435191341743056, 'min_split_gain': 0.0, 'reg_alpha': 0.0021705003488711127, 'reg_lambda': 2.105025824748384, 'subsample': 0.8992770942635395, 'colsample_bytree': 0.7138574357957539, 'learning_rate': 0.005107014088805241, 'max_bin': 127, 'path_smooth': 0.001047722656409829, 'extra_trees': True, 'feature_k': 27}",27,-0.8268564754552321,0.0,0.0,0.0456607733994726,-0.0261597702662584,0.4444444444444444,0.0085551223675492,0.0135982278865279,0.0050090500663141,1.5,353,5,3,3550,0.008435191341743,0.0,0.0021705003488711,2.105025824748384,0.8992770942635395,0.7138574357957539,0.0051070140888052,127,0.0010477226564098,True,27
10,178e7ae6cc0aca04,"{'num_leaves': 21, 'max_depth': 8, 'min_child_samples': 282, 'min_child_weight': 0.001268082208042942, 'min_split_gain': 0.0, 'reg_alpha': 0.011502956321912736, 'reg_lambda': 3.0759501068720385, 'subsample': 0.9365052773762228, 'colsample_bytree': 0.5858586348000562, 'learning_rate': 0.038995685532633356, 'max_bin': 127, 'path_smooth': 0.10245858939867322, 'extra_trees': False, 'feature_k': 5}",5,-1.0643482420691373,0.0,0.0,-0.0338794190354321,0.0056185626132897,0.3333333333333333,0.0085594682748102,0.0135923229356264,0.0050207467733085,0.5,16,21,8,282,0.0012680822080429,0.0,0.0115029563219127,3.0759501068720385,0.9365052773762228,0.5858586348000562,0.0389956855326333,127,0.1024585893986732,False,5
11,53ea6918cc8d9ee8,"{'num_leaves': 26, 'max_depth': 6, 'min_child_samples': 6140, 'min_child_weight': 0.0019255395572015624, 'min_split_gain': 0.0, 'reg_alpha': 7.355619850853311, 'reg_lambda': 84.5746003373148, 'subsample': 0.8765047277336799, 'colsample_bytree': 0.5266693352417514, 'learning_rate': 0.012135781063832509, 'max_bin': 63, 'path_smooth': 0.0047639915966305865, 'extra_trees': True, 'feature_k': 28}",28,-0.8986807129278339,0.0,0.0,0.025109345943892,-0.009286388704048,0.3333333333333333,0.008554182367087,0.0135909402719014,0.0050124758374824,0.9,138,26,6,6140,0.0019255395572015,0.0,7.355619850853311,84.5746003373148,0.8765047277336799,0.5266693352417514,0.0121357810638325,63,0.0047639915966305,True,28
12,8285660e2c375ba4,"{'num_leaves': 8, 'max_depth': 3, 'min_child_samples': 590, 'min_child_weight': 0.026796832798314667, 'min_split_gain': 0.00027413507419758244, 'reg_alpha': 1.7396167422846986, 'reg_lambda': 54.21814280975649, 'subsample': 0.9066202762782356, 'colsample_bytree': 0.6568054393165627, 'learning_rate': 0.01586668862464422, 'max_bin': 63, 'path_smooth': 0.6424916813668934, 'extra_trees': True, 'feature_k': 8}",8,-0.8739293681407563,0.0,0.0,0.1378924920812776,-0.0010703795909283,0.5555555555555556,0.0085569557614139,0.0135903939459847,0.0050157835831603,1.0,79,8,3,590,0.0267968327983146,0.0002741350741975,1.7396167422846986,54.21814280975649,0.9066202762782356,0.6568054393165627,0.0158666886246442,63,0.6424916813668934,True,8
13,a545a4abc5832385,"{'num_leaves': 8, 'max_depth': 8, 'min_child_samples': 754, 'min_child_weight': 0.00024053680495891361, 'min_split_gain': 0.01951651378326559, 'reg_alpha': 0.12273630375458194, 'reg_lambda': 34.67265563079218, 'subsample': 0.5579105137484216, 'colsample_bytree': 0.7237342854914002, 'learning_rate': 0.0060857971057506986, 'max_bin': 127, 'path_smooth': 0.1453919918756155, 'extra_trees': True, 'feature_k': 72}",72,-1.0619775164873817,0.0,0.0,-0.0644033272325477,-0.0016729609231326,0.5555555555555556,0.0085521658413926,0.01360670333574,0.0050021906567941,2.9,356,8,8,754,0.0002405368049589,0.0195165137832655,0.1227363037545819,34.67265563079218,0.5579105137484216,0.7237342854914002,0.0060857971057506,127,0.1453919918756155,True,72
14,4be618ee6b0660aa,"{'num_leaves': 13, 'max_depth': 8, 'min_child_samples': 903, 'min_child_weight': 0.0003310418956324517, 'min_split_gain': 0.0, 'reg_alpha': 0.004224235973517089, 'reg_lambda': 3.1658169231879687, 'subsample': 0.7246133323530601, 'colsample_bytree': 0.7787575536200373, 'learning_rate': 0.02286479863770566, 'max_bin': 127, 'path_smooth': 0.8945150807271531, 'extra_trees': True, 'feature_k': 11}",11,-0.8187691444802411,0.0,0.0,0.1343081172009474,-0.0115070290114196,0.3333333333333333,0.0085621571945255,0.013595565956172,0.0050244074630933,0.5,24,13,8,903,0.0003310418956324,0.0,0.004224235973517,3.1658169231879687,0.7246133323530601,0.7787575536200373,0.0228647986377056,127,0.8945150807271531,True,11
