direction,entry_cutoff,tp_spec,sl_spec,n_trades,total_fact_log_return,avg_fact_log_return,compounded_return_pct,win_rate,avg_hold_minutes
short,0.9,bucket_mean_mfe,none,425,-0.2345650346472639,-0.0005519177285817974,-20.908520464597867,0.4988235294117647,49.93411764705883
short,0.92,bucket_mean_mfe,none,314,-0.13019974532347342,-0.0004146488704569217,-12.20799470192837,0.5063694267515924,47.49363057324841
short,0.94,bucket_mean_mfe,none,208,-0.17536760249120179,-0.0008431134735153932,-16.08515090112519,0.5384615384615384,46.5
short,0.95,bucket_mean_mfe,none,156,-0.29133312094820707,-0.0018675200060782504,-25.273329364222985,0.5256410256410257,46.25
short,0.96,bucket_mean_mfe,none,118,-0.21040414538633606,-0.0017830859778503055,-18.974328172419717,0.5423728813559322,43.940677966101696
short,0.97,bucket_mean_mfe,none,73,-0.3207146776027431,-0.004393351747982782,-27.43697399781082,0.5068493150684932,43.863013698630134
short,0.98,bucket_mean_mfe,none,50,-0.22262779588713116,-0.004452555917742624,-19.958728923857816,0.52,44.14
short,0.99,bucket_mean_mfe,none,27,-0.0922572758703281,-0.0034169361433454854,-8.812948291715983,0.5555555555555556,39.18518518518518
short,0.9,bucket_mean_mfe,0.5x_tp,764,-0.09180248897145166,-0.00012016032587886342,-8.771468183661991,0.3756544502617801,25.25392670157068
short,0.92,bucket_mean_mfe,0.5x_tp,594,-0.13122815478394015,-0.00022092281950158275,-12.298234421086484,0.36195286195286197,22.55723905723906
short,0.94,bucket_mean_mfe,0.5x_tp,410,-0.04585116286366262,-0.00011183210454551859,-4.481588151974581,0.36097560975609755,20.151219512195123
short,0.95,bucket_mean_mfe,0.5x_tp,328,-0.20572595195727894,-0.0006272132681624358,-18.594386379225035,0.3445121951219512,17.972560975609756
short,0.96,bucket_mean_mfe,0.5x_tp,260,-0.05934215683948363,-0.00022823906476724472,-5.761572923593317,0.35384615384615387,16.746153846153845
short,0.97,bucket_mean_mfe,0.5x_tp,195,-0.27160091495523486,-0.0013928252048986403,-23.78416335903646,0.3076923076923077,13.953846153846154
short,0.98,bucket_mean_mfe,0.5x_tp,123,-0.21368707043837296,-0.001737293255596528,-19.239893226723026,0.2845528455284553,11.032520325203253
short,0.99,bucket_mean_mfe,0.5x_tp,75,-0.16069943930261466,-0.0021426591907015287,-14.845202549895342,0.25333333333333335,8.0
short,0.9,bucket_mean_mfe,1.0x_tp,541,0.015670606825433704,2.896600152575546e-05,1.5794034671500645,0.48428835489833644,38.373382624768944
short,0.92,bucket_mean_mfe,1.0x_tp,414,-0.013767214662095417,-3.325414169588265e-05,-1.3672879967190132,0.4830917874396135,35.44444444444444
short,0.94,bucket_mean_mfe,1.0x_tp,296,-0.023700661069255804,-8.006980090964799e-05,-2.342200617781376,0.48986486486486486,31.966216216216218
short,0.95,bucket_mean_mfe,1.0x_tp,231,-0.19491640227239926,-0.0008437939492311656,-17.709655196107388,0.47186147186147187,30.48917748917749
short,0.96,bucket_mean_mfe,1.0x_tp,187,-0.10288653637046002,-0.000550195381660214,-9.777066211055763,0.47593582887700536,27.53475935828877
short,0.97,bucket_mean_mfe,1.0x_tp,134,-0.21875821510923774,-0.0016325239933525203,-19.648402730954306,0.4626865671641791,22.380597014925375
short,0.98,bucket_mean_mfe,1.0x_tp,89,-0.2768800382319044,-0.0031110116655270153,-24.185455987697225,0.4157303370786517,20.0561797752809
short,0.99,bucket_mean_mfe,1.0x_tp,54,-0.19435059544755226,-0.0035990851008805974,-17.663081582806704,0.3888888888888889,16.0
short,0.9,bucket_mean_mfe,1.5x_tp,475,-0.3273143840146105,-0.0006890829137149695,-27.914291854414188,0.48210526315789476,44.193684210526314
short,0.92,bucket_mean_mfe,1.5x_tp,364,-0.1645730899118812,-0.00045212387338428896,-15.174424425990395,0.49175824175824173,41.4532967032967
short,0.94,bucket_mean_mfe,1.5x_tp,249,-0.2036477456053888,-0.0008178624321501559,-18.425032801030216,0.5100401606425703,38.381526104417674
short,0.95,bucket_mean_mfe,1.5x_tp,199,-0.3771150464477991,-0.001895050484662307,-31.41628337726594,0.49246231155778897,35.98994974874372
short,0.96,bucket_mean_mfe,1.5x_tp,155,-0.3044936693999144,-0.0019644752864510606,-26.250330298352086,0.4967741935483871,32.81290322580645
