trial_number,value,long_entry_pct,short_entry_pct,min_edge_gap,max_hold_minutes,cooldown_minutes,min_hold_minutes,rearm_pct
0,0.005753190429900971,0.8086166344657351,0.9757071488588757,0.21959818254342153,156,31,7,0.42032926425886985
1,0.002074346878332295,0.9511910822747311,0.8743233534055306,0.21242177333881365,34,117,26,0.4743186887373967
2,0.001973544030306577,0.7527292404900592,0.7531873078574958,0.09127267288786131,140,60,11,0.6141485131528328
3,0.002619218379728106,0.740453219589092,0.7847219480752132,0.1099085529881075,126,98,8,0.5799820534447641
4,-0.0004583645861594297,0.8718002249699923,0.7134706196887993,0.1822634555704315,65,21,29,0.7379712115760958
5,0.0007430185097549153,0.9344352309537737,0.7883379930602774,0.029301634201915158,174,61,6,0.5733119185389446
6,0.00489771827909789,0.7099726711234133,0.9637029166028468,0.07763399448000508,169,48,17,0.5913485977701479
7,0.005069374742850238,0.7536077921024028,0.981179542051722,0.23253984700833435,228,109,19,0.7226559822580909
8,0.0019493640105877133,0.7256628255950566,0.7568350301015521,0.01356818667316142,98,56,10,0.6900581282031752
9,0.001675760728466496,0.8034584647411409,0.7814710078093404,0.16280882494747453,59,100,5,0.7454104278101811
10,-inf,0.8489623735480405,0.894592077585257,0.29086113323635965,226,17,20,0.4054581798804597
11,0.00539977862902864,0.7943543994116725,0.9846847004303143,0.2737636329255806,239,80,16,0.5022834629256953
12,0.004498963151277383,0.8164346360739214,0.9279616835502484,0.2980796598537187,193,81,15,0.47363964791117363
13,-inf,0.7942913348403874,0.9891487658660496,0.25031550266877334,238,36,3,0.4108707967191755
14,0.004307257409174863,0.8887945829197624,0.9333230953652825,0.25911944644397994,198,79,13,0.4966671259132692
15,0.0030574923176835463,0.8348502818729066,0.8583545600768989,0.18489759327312555,127,78,24,0.5120695510182085
16,0.005452086229858116,0.9119832381919901,0.9428824658023508,0.14169658850016048,154,34,13,0.444738513498924
17,0.005344198402376821,0.9133192790622655,0.9333353026072689,0.13924994881348537,158,33,9,0.4413072304776512
18,-0.00013519613490617848,0.9834461615982263,0.8341623250969942,0.1298087262826884,107,34,13,0.4457320242895126
19,0.0010888206051988135,0.9820479055008651,0.8985627240916193,0.05540737348401954,199,46,7,0.4326757998976298
