entry_thr,max_hold,tp_pct,trades,win_rate,total_return,profit_factor,max_dd,avg_hold,score
0.45,120,0.0,459,0.8105,183.7186,5.804,-0.102,93.0,183.74522500000003
0.42,120,0.0,532,0.797,160.06,4.761,-0.1284,90.6,160.07005
0.38,120,0.0,673,0.7727,156.4791,3.72,-0.1531,87.0,156.470725
0.48,120,0.0,393,0.8397,152.8979,7.423,-0.0957,96.3,152.93497499999998
0.4,120,0.0,604,0.7765,151.9829,3.991,-0.1757,88.9,151.964175
0.5,120,0.0,357,0.8627,146.9504,8.707,-0.108,99.0,146.987075
0.36,120,0.0,755,0.743,123.3039,3.085,-0.189,84.3,123.27015
0.45,90,0.0,466,0.7833,99.5711,4.951,-0.112,75.0,99.585925
0.55,120,0.0,276,0.8768,94.6907,11.022,-0.1133,104.4,94.72825
0.5,90,0.0,363,0.832,89.6694,6.871,-0.0877,79.1,89.70854999999999
0.48,90,0.0,398,0.804,86.7165,6.086,-0.1117,77.3,86.73664999999998
0.42,90,0.0,545,0.7615,79.6506,3.87,-0.1056,73.7,79.663175
0.33,120,0.0,892,0.6984,76.8259,2.467,-0.1591,81.9,76.79595
0.4,90,0.0,619,0.7431,71.4465,3.374,-0.1572,72.4,71.42867500000001
0.38,90,0.0,693,0.7258,70.7981,3.05,-0.1557,71.4,70.7767
0.38,120,0.02,696,0.7931,68.9581,3.389,-0.1167,68.7,68.97302499999999
0.45,120,0.02,472,0.8538,64.3721,5.554,-0.0936,64.1,64.41375
0.55,90,0.0,281,0.8434,58.5951,7.957,-0.1147,82.6,58.6236
0.48,120,0.02,406,0.8768,56.6802,6.95,-0.0766,62.2,56.7361
0.4,120,0.02,620,0.8032,55.7692,3.617,-0.1531,68.0,55.76845
0.5,120,0.02,368,0.9022,54.1546,8.348,-0.0945,60.6,54.2079
0.36,90,0.0,778,0.7134,53.9133,2.583,-0.1841,69.7,53.8746
0.42,120,0.02,546,0.8278,52.9337,4.143,-0.1108,66.8,52.96025
0.36,120,0.02,780,0.7551,48.5627,2.704,-0.1542,69.1,48.549375
0.45,60,0.0,479,0.7704,47.7293,4.475,-0.1424,53.7,47.7257
0.48,60,0.0,406,0.798,44.7654,5.504,-0.116,55.2,44.7819
0.38,120,0.015,708,0.8107,42.6387,3.259,-0.1297,58.9,42.651525
0.5,60,0.0,369,0.8022,41.6197,5.569,-0.1088,56.0,41.64085
0.45,90,0.02,477,0.8134,41.053,4.481,-0.1473,55.9,41.0577
0.48,90,0.02,409,0.8362,40.2849,5.602,-0.1117,54.6,40.3131
0.3,120,0.0,1044,0.6734,40.3571,2.011,-0.2541,78.9,40.2734
0.38,90,0.02,709,0.7518,39.9302,2.82,-0.1548,59.6,39.91575
0.42,60,0.0,560,0.7411,37.9501,3.46,-0.1555,53.3,37.932624999999994
0.5,90,0.02,372,0.8656,37.4113,6.387,-0.087,53.5,37.459199999999996
0.42,120,0.015,552,0.8442,32.8151,4.168,-0.0987,55.5,32.851800000000004
0.33,90,0.0,917,0.6783,32.2963,2.112,-0.1401,67.9,32.270825
0.36,120,0.015,790,0.781,31.481,2.644,-0.1666,60.2,31.467950000000002
0.4,120,0.015,629,0.8172,31.2654,3.352,-0.1534,58.1,31.268
0.45,120,0.015,476,0.8697,31.1373,5.089,-0.0981,50.6,31.180674999999997
0.42,90,0.02,555,0.782,30.5343,3.339,-0.1448,57.9,30.532400000000003
0.4,90,0.02,630,0.7635,30.4856,2.905,-0.169,58.9,30.466975
0.55,60,0.0,284,0.8204,30.4077,7.156,-0.1028,57.7,30.4364
0.55,120,0.02,283,0.9081,28.8726,9.075,-0.1001,56.5,28.924575
0.36,90,0.02,793,0.7289,27.865,2.337,-0.1797,59.8,27.832375
0.45,60,0.02,485,0.7938,27.7767,4.289,-0.1527,43.9,27.7738
0.5,120,0.015,375,0.9147,26.3389,7.681,-0.095,46.8,26.395075
0.48,60,0.02,413,0.8184,25.7599,5.272,-0.116,43.1,25.781499999999998
0.48,120,0.015,412,0.8835,25.4695,5.908,-0.0753,49.4,25.527725
0.45,45,0.0,485,0.7361,25.0407,3.85,-0.1993,41.8,25.000075
0.38,90,0.015,716,0.7709,24.7241,2.692,-0.1672,52.1,24.708225
0.55,90,0.02,285,0.8842,24.6156,7.924,-0.1075,50.0,24.6579
0.4,60,0.0,638,0.7038,24.4862,2.708,-0.2076,52.8,24.43335
0.42,60,0.02,567,0.7601,24.0881,3.305,-0.169,45.4,24.068625
0.38,60,0.0,720,0.6931,23.774,2.498,-0.1838,52.2,23.730375000000002
0.5,60,0.02,374,0.8316,22.8913,5.404,-0.1128,42.1,22.9178
0.45,90,0.015,481,0.8295,22.7419,4.257,-0.1292,45.0,22.759675
0.3,90,0.0,1073,0.6589,22.4565,1.848,-0.2317,65.7,22.380375
0.38,60,0.02,728,0.706,21.4843,2.515,-0.1722,46.3,21.449700000000004
0.33,120,0.02,923,0.7096,20.8976,1.98,-0.2124,69.5,20.843799999999998
0.48,45,0.0,412,0.7451,20.5141,4.131,-0.1313,42.6,20.509724999999996
0.5,45,0.0,373,0.756,20.0527,4.284,-0.1335,43.0,20.049950000000003
0.42,45,0.0,566,0.7191,19.7123,3.085,-0.1943,41.6,19.669925
0.36,60,0.0,806,0.6811,19.6805,2.206,-0.2525,51.3,19.599525
0.42,90,0.015,559,0.8014,19.5087,3.239,-0.1421,49.1,19.513
0.4,60,0.02,645,0.7225,19.2851,2.634,-0.1967,46.0,19.242375
0.4,90,0.015,636,0.7846,19.1324,2.775,-0.1713,51.0,19.1179
0.48,90,0.015,414,0.843,18.3453,4.702,-0.1182,44.1,18.371950000000002
0.5,90,0.015,377,0.8753,18.3073,5.465,-0.0903,41.9,18.355975
0.45,60,0.015,488,0.8115,18.2136,4.037,-0.1274,36.7,18.227774999999998
0.55,45,0.0,287,0.7909,17.7999,5.062,-0.1756,44.0,17.784824999999998
0.36,90,0.015,801,0.7491,17.3784,2.217,-0.1917,53.2,17.344825
