entry_thr,max_hold,tp_pct,trades,win_rate,total_return,profit_factor,max_dd,avg_hold,exposure_pct,score
0.45,120,0.0,356,0.7949,56.925,5.459,-0.117,95.0,0.045,56.954969999999996
0.42,120,0.0,423,0.7636,43.2552,4.07,-0.1237,91.7,0.052,43.27243
0.48,120,0.0,300,0.8267,41.5099,6.153,-0.1324,99.2,0.04,41.54171
0.5,120,0.0,274,0.8248,40.2993,7.177,-0.1333,102.1,0.037,40.33009
0.4,120,0.0,472,0.7542,39.5969,3.543,-0.1317,90.7,0.057,39.60731
0.45,90,0.0,363,0.7796,33.5662,4.507,-0.1124,76.1,0.037,33.593880000000006
0.38,120,0.0,532,0.7256,32.5762,2.88,-0.2167,88.7,0.063,32.53553
0.55,120,0.0,220,0.8364,30.7632,7.918,-0.1468,106.3,0.031,30.79072
0.6,120,0.0,180,0.8778,26.9195,9.748,-0.1484,108.0,0.026,26.95864
0.35,120,0.0,628,0.6927,25.1648,2.456,-0.2131,84.8,0.071,25.11606
0.45,120,0.02,364,0.8407,24.0516,4.94,-0.1219,65.0,0.032,24.09286
0.42,90,0.0,435,0.7448,23.7147,3.229,-0.1117,74.1,0.043,23.732290000000003
0.5,90,0.0,277,0.8087,23.4955,5.378,-0.113,80.9,0.03,23.53161
0.48,90,0.0,304,0.7961,23.1853,4.703,-0.1128,79.0,0.032,23.217730000000003
0.4,120,0.02,486,0.7881,19.9794,3.162,-0.1509,69.6,0.045,19.99038
0.6,90,0.0,184,0.8315,19.512,8.539,-0.1125,84.9,0.021,19.555200000000003
0.3,120,0.0,827,0.659,19.4198,1.976,-0.2371,79.0,0.087,19.34895
0.5,120,0.02,280,0.8786,19.0521,7.017,-0.1309,62.5,0.023,19.10023
0.55,90,0.0,223,0.8072,19.0402,6.123,-0.1359,83.6,0.025,19.06441
0.4,90,0.0,488,0.7254,18.9928,2.79,-0.1412,73.7,0.048,18.98982
0.48,120,0.02,308,0.8636,18.7829,5.682,-0.1373,64.3,0.026,18.82333
0.42,120,0.02,437,0.7986,18.7299,3.519,-0.1286,68.0,0.04,18.755180000000003
0.45,60,0.0,371,0.7466,18.5411,4.115,-0.1137,54.1,0.027,18.55823
0.38,90,0.0,545,0.7064,17.1643,2.506,-0.1713,72.5,0.053,17.14057
0.38,120,0.02,546,0.7527,17.1065,2.621,-0.1837,70.2,0.051,17.09046
0.45,90,0.02,371,0.814,16.8731,4.072,-0.1147,56.1,0.028,16.909950000000002
0.3,90,0.0,861,0.6539,15.757,1.948,-0.1306,65.5,0.075,15.73787
0.35,90,0.0,651,0.682,15.72,2.21,-0.1779,69.9,0.061,15.68565
0.6,60,0.0,184,0.8696,15.2134,9.512,-0.1052,58.8,0.014,15.27168
0.48,60,0.0,307,0.7655,14.217,4.215,-0.132,55.7,0.023,14.230649999999999
0.45,120,0.015,367,0.861,13.9212,4.573,-0.1007,51.8,0.025,13.97915
0.5,90,0.02,282,0.8475,13.3281,5.31,-0.1087,54.9,0.021,13.378
0.42,60,0.0,446,0.7175,13.2964,2.911,-0.1257,52.9,0.032,13.298800000000002
0.48,90,0.02,311,0.8296,12.8066,4.365,-0.1151,56.0,0.023,12.847929999999998
0.42,120,0.015,441,0.8186,12.8191,3.383,-0.1346,55.8,0.033,12.847380000000001
0.45,60,0.02,376,0.7766,12.6054,4.005,-0.1177,43.6,0.022,12.629529999999999
0.4,120,0.015,490,0.8041,12.5948,2.931,-0.1585,58.6,0.038,12.606779999999999
