entry_thr,max_hold,tp_pct,trades,win_rate,total_return,profit_factor,max_dd,avg_hold,exposure_pct,score
0.3,120,0.02,682,0.6525,10.8351,1.849,-0.134,78.0,0.07,10.81385
0.35,120,0.0,482,0.6473,9.4431,1.977,-0.1684,103.9,0.066,9.40309
0.38,120,0.02,414,0.7077,9.3823,2.26,-0.1176,78.0,0.043,9.385810000000001
0.3,120,0.0,652,0.612,9.1112,1.739,-0.1566,97.4,0.084,9.0665
0.35,120,0.02,503,0.6859,9.0297,1.997,-0.1865,78.1,0.052,8.992220000000001
0.35,90,0.0,499,0.6072,8.4289,1.989,-0.1844,82.6,0.055,8.36886
0.4,120,0.02,368,0.7147,7.7922,2.257,-0.1065,76.4,0.037,7.80336
0.3,120,0.015,704,0.6804,7.7926,1.772,-0.1353,67.3,0.063,7.77907
0.4,120,0.0,359,0.6602,7.5965,2.166,-0.113,107.5,0.051,7.5880600000000005
0.35,90,0.02,516,0.6473,7.626,1.995,-0.1919,66.2,0.045,7.5742400000000005
0.38,120,0.0,399,0.6591,7.2631,2.044,-0.1355,106.3,0.056,7.243079999999999
0.3,90,0.0,687,0.591,7.0442,1.686,-0.1545,78.9,0.072,6.99425
0.3,90,0.02,709,0.6121,6.7788,1.688,-0.1182,66.5,0.062,6.75333
0.38,90,0.02,423,0.6879,6.7186,2.15,-0.1147,66.3,0.037,6.717620000000001
0.42,120,0.0,309,0.644,6.7237,2.328,-0.1073,108.1,0.044,6.7132499999999995
0.42,90,0.0,322,0.6615,6.6087,2.386,-0.1113,85.0,0.036,6.6015
0.42,120,0.02,319,0.7022,5.9426,2.34,-0.1008,76.4,0.032,5.95286
0.4,90,0.0,368,0.663,5.9096,2.053,-0.1365,85.0,0.041,5.89025
0.38,90,0.0,411,0.6399,5.9013,1.982,-0.1712,84.1,0.046,5.85767
0.4,90,0.02,375,0.704,5.6563,2.088,-0.1362,65.5,0.032,5.6494
0.38,120,0.015,424,0.7429,5.5489,2.104,-0.1229,65.4,0.037,5.56032
0.42,90,0.02,329,0.6991,5.1954,2.257,-0.1113,65.3,0.028,5.19948
0.35,120,0.015,507,0.716,5.1342,1.876,-0.1289,67.9,0.046,5.13455
