trial_no,param_hash,params,objective_score,mean_valid_ll,std_valid_ll,mean_train_ll,mean_gap,mean_valid_prauc,guardrail_ok,elapsed_s,p_num_leaves,p_max_depth,p_min_child_samples,p_min_child_weight,p_min_split_gain,p_reg_alpha,p_reg_lambda,p_subsample,p_colsample_bytree,p_learning_rate,p_max_bin,p_path_smooth,p_extra_trees
1,944351811fc689dc,"{'num_leaves': 18, 'max_depth': 5, 'min_child_samples': 283, 'min_child_weight': 0.08450201302139065, 'min_split_gain': 0.006158459876169438, 'reg_alpha': 1.1080485964481517, 'reg_lambda': 37.33607072503034, 'subsample': 0.5140568163377729, 'colsample_bytree': 0.6202315627373403, 'learning_rate': 0.011742701698247473, 'max_bin': 63, 'path_smooth': 5.094011902587738, 'extra_trees': True}",0.2750245014495773,0.2742251654978005,0.0025792755861346,0.2426799949453698,0.0315451705524307,0.3591617045979782,True,14.0,18,5,283,0.0845020130213906,0.0061584598761694,1.1080485964481517,37.33607072503034,0.5140568163377729,0.6202315627373403,0.0117427016982474,63,5.094011902587738,True
2,dd5aaaf69b350ba2,"{'num_leaves': 20, 'max_depth': 5, 'min_child_samples': 1547, 'min_child_weight': 0.0001554002697432927, 'min_split_gain': 8.108768226750889e-05, 'reg_alpha': 2.044206137953301, 'reg_lambda': 18.337021671045928, 'subsample': 0.8290438700426869, 'colsample_bytree': 0.562715580877921, 'learning_rate': 0.04673777448553254, 'max_bin': 63, 'path_smooth': 1.2987752032221334, 'extra_trees': True}",0.2752761573551925,0.2747166437688086,0.0022380543455355,0.245895948177552,0.0288206955912566,0.3545006112879873,True,6.0,20,5,1547,0.0001554002697432,8.108768226750889e-05,2.044206137953301,18.337021671045928,0.8290438700426869,0.562715580877921,0.0467377744855325,63,1.2987752032221334,True
3,c738eb65861e4e56,"{'num_leaves': 5, 'max_depth': 3, 'min_child_samples': 353, 'min_child_weight': 0.011198164932559403, 'min_split_gain': 0.0, 'reg_alpha': 0.95290284510031, 'reg_lambda': 86.10323423725237, 'subsample': 0.612912679069076, 'colsample_bytree': 0.5722758236209213, 'learning_rate': 0.014740961625414347, 'max_bin': 63, 'path_smooth': 0.00572644951569379, 'extra_trees': False}",0.2729396495644197,0.2722760904134872,0.0023650032649935,0.2415530070666466,0.0307230833468405,0.3600840015978388,True,15.3,5,3,353,0.0111981649325594,0.0,0.95290284510031,86.10323423725237,0.612912679069076,0.5722758236209213,0.0147409616254143,63,0.0057264495156937,False
4,781e44d8b598802e,"{'num_leaves': 9, 'max_depth': -1, 'min_child_samples': 1003, 'min_child_weight': 0.03147999017725312, 'min_split_gain': 0.004778108184926552, 'reg_alpha': 0.6324998225557302, 'reg_lambda': 4.214376026129216, 'subsample': 0.8661299006976004, 'colsample_bytree': 0.8328586144980811, 'learning_rate': 0.012202487834934933, 'max_bin': 127, 'path_smooth': 0.5370095583865401, 'extra_trees': False}",0.2729412097378291,0.271509806787978,0.0033369873205788,0.2355382455909138,0.0359715611970641,0.3632066181380811,True,14.2,9,-1,1003,0.0314799901772531,0.0047781081849265,0.6324998225557302,4.214376026129216,0.8661299006976004,0.8328586144980811,0.0122024878349349,127,0.5370095583865401,False
5,22b5cdc2de543cae,"{'num_leaves': 4, 'max_depth': 6, 'min_child_samples': 3645, 'min_child_weight': 0.009875351660720863, 'min_split_gain': 0.0, 'reg_alpha': 0.6617005787654167, 'reg_lambda': 36.42990695707062, 'subsample': 0.6794578877691699, 'colsample_bytree': 0.6912447175717362, 'learning_rate': 0.00689869591812769, 'max_bin': 63, 'path_smooth': 0.0028715758625046375, 'extra_trees': False}",0.2817889637307445,0.2813885239304054,0.0016017592013564,0.2649814680973162,0.0164070558330891,0.3317862557197985,True,13.2,4,6,3645,0.0098753516607208,0.0,0.6617005787654167,36.42990695707062,0.6794578877691699,0.6912447175717362,0.0068986959181276,63,0.0028715758625046,False
6,039b060f1b7308f4,"{'num_leaves': 32, 'max_depth': 5, 'min_child_samples': 283, 'min_child_weight': 0.08450201302139065, 'min_split_gain': 0.006158459876169438, 'reg_alpha': 1.1080485964481517, 'reg_lambda': 37.33607072503034, 'subsample': 0.5140568163377729, 'colsample_bytree': 0.6202315627373403, 'learning_rate': 0.011742701698247473, 'max_bin': 63, 'path_smooth': 5.094011902587738, 'extra_trees': True}",0.2682655667183053,0.2662403289346106,0.008100951134779,0.2412195077264273,0.0250208212081832,0.3586549053553082,True,41.0,32,5,283,0.0845020130213906,0.0061584598761694,1.1080485964481517,37.33607072503034,0.5140568163377729,0.6202315627373403,0.0117427016982474,63,5.094011902587738,True
7,c7efe311f78b479d,"{'num_leaves': 32, 'max_depth': 5, 'min_child_samples': 1547, 'min_child_weight': 0.0001554002697432927, 'min_split_gain': 8.108768226750889e-05, 'reg_alpha': 2.044206137953301, 'reg_lambda': 18.337021671045928, 'subsample': 0.8290438700426869, 'colsample_bytree': 0.562715580877921, 'learning_rate': 0.04673777448553254, 'max_bin': 63, 'path_smooth': 1.2987752032221334, 'extra_trees': True}",0.268717406988827,0.2668225230860272,0.0075795356111993,0.2441239166701942,0.0226986064158329,0.354839292600721,True,19.4,32,5,1547,0.0001554002697432,8.108768226750889e-05,2.044206137953301,18.337021671045928,0.8290438700426869,0.562715580877921,0.0467377744855325,63,1.2987752032221334,True
8,efb411165e23977c,"{'num_leaves': 5, 'max_depth': 3, 'min_child_samples': 353, 'min_child_weight': 0.011198164932559403, 'min_split_gain': 0.0, 'reg_alpha': 0.95290284510031, 'reg_lambda': 86.10323423725237, 'subsample': 0.612912679069076, 'colsample_bytree': 0.5722758236209213, 'learning_rate': 0.014740961625414347, 'max_bin': 63, 'path_smooth': 0.00572644951569379, 'extra_trees': False}",0.2671920381802,0.265290466802756,0.0076062855097762,0.2432777411069083,0.0220127256958476,0.3592997500953901,True,41.5,5,3,353,0.0111981649325594,0.0,0.95290284510031,86.10323423725237,0.612912679069076,0.5722758236209213,0.0147409616254143,63,0.0057264495156937,False
9,c2b8c703b6be57e9,"{'num_leaves': 13, 'max_depth': -1, 'min_child_samples': 1003, 'min_child_weight': 0.03147999017725312, 'min_split_gain': 0.004778108184926552, 'reg_alpha': 0.6324998225557302, 'reg_lambda': 4.214376026129216, 'subsample': 0.8661299006976004, 'colsample_bytree': 0.8328586144980811, 'learning_rate': 0.012202487834934933, 'max_bin': 127, 'path_smooth': 0.5370095583865401, 'extra_trees': False}",0.2668320906929876,0.2645755136688965,0.007433445739272,0.2305933577761655,0.0339821558927309,0.360566515808583,True,56.8,13,-1,1003,0.0314799901772531,0.0047781081849265,0.6324998225557302,4.214376026129216,0.8661299006976004,0.8328586144980811,0.0122024878349349,127,0.5370095583865401,False
10,e2cf332e89ab8f31,"{'num_leaves': 5, 'max_depth': 6, 'min_child_samples': 3645, 'min_child_weight': 0.009875351660720863, 'min_split_gain': 0.0, 'reg_alpha': 0.6617005787654167, 'reg_lambda': 36.42990695707062, 'subsample': 0.6794578877691699, 'colsample_bytree': 0.6912447175717362, 'learning_rate': 0.00689869591812769, 'max_bin': 63, 'path_smooth': 0.0028715758625046375, 'extra_trees': False}",0.2737323557395277,0.2714249794836133,0.0092295050236576,0.2571109424044441,0.0143140370791691,0.3364025999289467,True,65.0,5,6,3645,0.0098753516607208,0.0,0.6617005787654167,36.42990695707062,0.6794578877691699,0.6912447175717362,0.0068986959181276,63,0.0028715758625046,False
