fold,num_leaves,n_estimators,max_depth,min_child_samples,train_roc_auc,train_pr_auc,train_brier_score,train_log_loss,valid_roc_auc,valid_pr_auc,valid_brier_score,valid_log_loss
1,7,350,6,500,0.7890464818064971,0.4782003973531288,0.12129993357636505,0.3883038460627552,0.7959475798799565,0.32706002086931457,0.06032391392470888,0.22457810448870053
1,15,350,6,500,0.8176439720615037,0.5230799784112713,0.11608730531749635,0.37202303437748685,0.7914116702077642,0.3237889278425046,0.06048923658463583,0.22479750889166564
1,31,350,6,500,0.8216192522472674,0.5279833057078458,0.11544941116530646,0.36987853028856343,0.7929677908586238,0.32341362047692207,0.060386543768692576,0.22418418873421914
1,63,350,6,500,0.8216192522472674,0.5279833057078458,0.11544941116530646,0.36987853028856343,0.7929677908586238,0.32341362047692207,0.060386543768692576,0.22418418873421914
2,7,350,6,500,0.8029768231575171,0.46514161005397875,0.10898801937449726,0.35383522015223473,0.7849362273439249,0.21162563848355861,0.04419775414734051,0.17396642880989985
2,15,350,6,500,0.8296098154913016,0.5097505074970866,0.10436313081509102,0.33862230464178633,0.784393600358022,0.20660957670879887,0.04427893318237635,0.17370885873927888
2,31,350,6,500,0.8359862236516986,0.5189171112800534,0.1034147641235418,0.3351352621242795,0.7824043410158872,0.2068595033679225,0.04436877409745471,0.1741259499435645
2,63,350,6,500,0.8359862236516986,0.5189171112800534,0.1034147641235418,0.3351352621242795,0.7824043410158872,0.2068595033679225,0.04436877409745471,0.1741259499435645
3,7,350,6,500,0.8139003896090109,0.45109947347694207,0.09830927985369364,0.32334690811673,0.775467135255495,0.2211353798390653,0.06898751668455033,0.2454953712438113
3,15,350,6,500,0.8383178218375995,0.4968592967879461,0.09417225274541163,0.3095344289026098,0.7760155449749806,0.2222651982188779,0.06900475149030931,0.24539358627431354
3,31,350,6,500,0.8451719775866245,0.5062909877807694,0.09326765141865416,0.3057947708646585,0.7752704542828,0.22234970276162375,0.06902704052746943,0.2456513678398472
3,63,350,6,500,0.8451719775866245,0.5062909877807694,0.09326765141865416,0.3057947708646585,0.7752704542828,0.22234970276162375,0.06902704052746943,0.2456513678398472
4,7,350,6,500,0.8133939711623014,0.43311723385625217,0.0942074388883174,0.3119855647979177,0.7865871833084948,0.253380068054083,0.05966928826076676,0.21904834558983863
4,15,350,6,500,0.8371646722488181,0.4749936528988746,0.09055955775479875,0.29910091602126626,0.7836923014106936,0.2563942991689306,0.059837819552513834,0.22024718979099436
4,31,350,6,500,0.8462441517928416,0.48775302700770284,0.08942191010175014,0.29445192556164834,0.7796590653900334,0.2560968530677939,0.059813188794026216,0.2206875937428167
4,63,350,6,500,0.8462441517928416,0.48775302700770284,0.08942191010175014,0.29445192556164834,0.7796590653900334,0.2560968530677939,0.059813188794026216,0.2206875937428167
5,7,350,6,500,0.8156424676828035,0.4238756683249746,0.08963493448615897,0.29945601867066923,0.8121959962608529,0.27249781737371365,0.04788887437784357,0.1807787223436965
5,15,350,6,500,0.8378642163929868,0.46365050834903665,0.08642318844630109,0.28778817134266277,0.8112998288864947,0.2708701349490299,0.04790935419218333,0.1808435086105716
5,31,350,6,500,0.8481043474449996,0.4802714955245872,0.08509559680670085,0.28254695789447065,0.810635377717219,0.2707455466189574,0.047889067735351044,0.18077289781520664
5,63,350,6,500,0.8485853575972991,0.48069830561845067,0.08505836044293631,0.28236415731225933,0.8103848469484758,0.2712998650140788,0.04791561093624438,0.18090489271363322
