trial_no,param_hash,params,objective_score,mean_valid_ll,std_valid_ll,mean_train_ll,mean_gap,mean_valid_prauc,guardrail_ok,elapsed_s,p_num_leaves,p_max_depth,p_min_child_samples,p_min_child_weight,p_min_split_gain,p_reg_alpha,p_reg_lambda,p_subsample,p_colsample_bytree,p_learning_rate,p_max_bin,p_path_smooth,p_extra_trees
1,edb414924fd6f7c7,"{'num_leaves': 18, 'max_depth': 5, 'min_child_samples': 283, 'min_child_weight': 0.08450201302139065, 'min_split_gain': 0.006158459876169438, 'reg_alpha': 1.1080485964481517, 'reg_lambda': 37.33607072503034, 'subsample': 0.5140568163377729, 'colsample_bytree': 0.6202315627373403, 'learning_rate': 0.011742701698247473, 'max_bin': 63, 'path_smooth': 5.094011902587738, 'extra_trees': True}",0.2731232212103614,0.2680493292005598,0.0202955680392062,0.2459568306367491,0.0220924985638107,0.3428512784090451,True,60.9,18,5,283,0.0845020130213906,0.0061584598761694,1.1080485964481517,37.33607072503034,0.5140568163377729,0.6202315627373403,0.0117427016982474,63,5.094011902587738,True
2,63557b48a327f94f,"{'num_leaves': 20, 'max_depth': 5, 'min_child_samples': 1547, 'min_child_weight': 0.0001554002697432927, 'min_split_gain': 8.108768226750889e-05, 'reg_alpha': 2.044206137953301, 'reg_lambda': 18.337021671045928, 'subsample': 0.8290438700426869, 'colsample_bytree': 0.562715580877921, 'learning_rate': 0.04673777448553254, 'max_bin': 63, 'path_smooth': 1.2987752032221334, 'extra_trees': True}",0.2733352732440134,0.2682431280968446,0.0203685805886749,0.2487051592301312,0.0195379688667133,0.3377416622317962,True,24.7,20,5,1547,0.0001554002697432,8.108768226750889e-05,2.044206137953301,18.337021671045928,0.8290438700426869,0.562715580877921,0.0467377744855325,63,1.2987752032221334,True
3,efb411165e23977c,"{'num_leaves': 5, 'max_depth': 3, 'min_child_samples': 353, 'min_child_weight': 0.011198164932559403, 'min_split_gain': 0.0, 'reg_alpha': 0.95290284510031, 'reg_lambda': 86.10323423725237, 'subsample': 0.612912679069076, 'colsample_bytree': 0.5722758236209213, 'learning_rate': 0.014740961625414347, 'max_bin': 63, 'path_smooth': 0.00572644951569379, 'extra_trees': False}",0.2724728430686937,0.2675459500479299,0.0197075720830553,0.2445462754919102,0.0229996745560196,0.3381890029214343,True,58.8,5,3,353,0.0111981649325594,0.0,0.95290284510031,86.10323423725237,0.612912679069076,0.5722758236209213,0.0147409616254143,63,0.0057264495156937,False
4,44fbeee79e0e4b47,"{'num_leaves': 9, 'max_depth': -1, 'min_child_samples': 1003, 'min_child_weight': 0.03147999017725312, 'min_split_gain': 0.004778108184926552, 'reg_alpha': 0.6324998225557302, 'reg_lambda': 4.214376026129216, 'subsample': 0.8661299006976004, 'colsample_bytree': 0.8328586144980811, 'learning_rate': 0.012202487834934933, 'max_bin': 127, 'path_smooth': 0.5370095583865401, 'extra_trees': False}",0.2731242173034808,0.2676698972905981,0.0205873296555724,0.2345950213007026,0.0330748759898955,0.337616230910204,True,62.7,9,-1,1003,0.0314799901772531,0.0047781081849265,0.6324998225557302,4.214376026129216,0.8661299006976004,0.8328586144980811,0.0122024878349349,127,0.5370095583865401,False
5,7f304ccb0c466b86,"{'num_leaves': 4, 'max_depth': 6, 'min_child_samples': 3645, 'min_child_weight': 0.009875351660720863, 'min_split_gain': 0.0, 'reg_alpha': 0.6617005787654167, 'reg_lambda': 36.42990695707062, 'subsample': 0.6794578877691699, 'colsample_bytree': 0.6912447175717362, 'learning_rate': 0.00689869591812769, 'max_bin': 63, 'path_smooth': 0.0028715758625046375, 'extra_trees': False}",0.2808801795126001,0.2753081458623082,0.0222881346011677,0.2704216827743687,0.0048864630879395,0.3157494339608451,True,73.2,4,6,3645,0.0098753516607208,0.0,0.6617005787654167,36.42990695707062,0.6794578877691699,0.6912447175717362,0.0068986959181276,63,0.0028715758625046,False
6,039b060f1b7308f4,"{'num_leaves': 32, 'max_depth': 5, 'min_child_samples': 283, 'min_child_weight': 0.08450201302139065, 'min_split_gain': 0.006158459876169438, 'reg_alpha': 1.1080485964481517, 'reg_lambda': 37.33607072503034, 'subsample': 0.5140568163377729, 'colsample_bytree': 0.6202315627373403, 'learning_rate': 0.011742701698247473, 'max_bin': 63, 'path_smooth': 5.094011902587738, 'extra_trees': True}",0.283622559598136,0.2793474946344494,0.0171002598547461,0.2506067369982495,0.0287407576361999,0.3519163102672289,True,140.6,32,5,283,0.0845020130213906,0.0061584598761694,1.1080485964481517,37.33607072503034,0.5140568163377729,0.6202315627373403,0.0117427016982474,63,5.094011902587738,True
7,c7efe311f78b479d,"{'num_leaves': 32, 'max_depth': 5, 'min_child_samples': 1547, 'min_child_weight': 0.0001554002697432927, 'min_split_gain': 8.108768226750889e-05, 'reg_alpha': 2.044206137953301, 'reg_lambda': 18.337021671045928, 'subsample': 0.8290438700426869, 'colsample_bytree': 0.562715580877921, 'learning_rate': 0.04673777448553254, 'max_bin': 63, 'path_smooth': 1.2987752032221334, 'extra_trees': True}",0.2836390662221294,0.2795275654063819,0.0164460032629899,0.2524573249719404,0.0270702404344414,0.3497651438026582,True,60.9,32,5,1547,0.0001554002697432,8.108768226750889e-05,2.044206137953301,18.337021671045928,0.8290438700426869,0.562715580877921,0.0467377744855325,63,1.2987752032221334,True
8,c2b8c703b6be57e9,"{'num_leaves': 13, 'max_depth': -1, 'min_child_samples': 1003, 'min_child_weight': 0.03147999017725312, 'min_split_gain': 0.004778108184926552, 'reg_alpha': 0.6324998225557302, 'reg_lambda': 4.214376026129216, 'subsample': 0.8661299006976004, 'colsample_bytree': 0.8328586144980811, 'learning_rate': 0.012202487834934933, 'max_bin': 127, 'path_smooth': 0.5370095583865401, 'extra_trees': False}",0.283756864391903,0.2786357733874566,0.0166668458853262,0.2390919780563075,0.039543795331149,0.3517695189838258,True,164.2,13,-1,1003,0.0314799901772531,0.0047781081849265,0.6324998225557302,4.214376026129216,0.8661299006976004,0.8328586144980811,0.0122024878349349,127,0.5370095583865401,False
9,e2cf332e89ab8f31,"{'num_leaves': 5, 'max_depth': 6, 'min_child_samples': 3645, 'min_child_weight': 0.009875351660720863, 'min_split_gain': 0.0, 'reg_alpha': 0.6617005787654167, 'reg_lambda': 36.42990695707062, 'subsample': 0.6794578877691699, 'colsample_bytree': 0.6912447175717362, 'learning_rate': 0.00689869591812769, 'max_bin': 63, 'path_smooth': 0.0028715758625046375, 'extra_trees': False}",0.2891442631469059,0.2849290674393353,0.0168607828302823,0.2682828141848054,0.0166462532545299,0.3302275503403967,True,197.9,5,6,3645,0.0098753516607208,0.0,0.6617005787654167,36.42990695707062,0.6794578877691699,0.6912447175717362,0.0068986959181276,63,0.0028715758625046,False
10,700a5446d0f334b0,"{'num_leaves': 13, 'max_depth': 5, 'min_child_samples': 2079, 'min_child_weight': 0.0045786579640486645, 'min_split_gain': 0.011481415388655809, 'reg_alpha': 0.17251570726102333, 'reg_lambda': 4.054153574900173, 'subsample': 0.4654089172839697, 'colsample_bytree': 0.6120304335394173, 'learning_rate': 0.008195107921137312, 'max_bin': 63, 'path_smooth': 2.591864498494624, 'extra_trees': False}",0.2874363743810117,0.2831098074600361,0.0173062676839024,0.2633177531393417,0.0197920543206944,0.3373610741044031,True,135.6,13,5,2079,0.0045786579640486,0.0114814153886558,0.1725157072610233,4.054153574900173,0.4654089172839697,0.6120304335394173,0.0081951079211373,63,2.591864498494624,False
