fold,num_leaves,n_estimators,max_depth,min_child_samples,train_roc_auc,train_pr_auc,train_brier_score,train_log_loss,valid_roc_auc,valid_pr_auc,valid_brier_score,valid_log_loss
1,7,350,6,500,0.773122026025065,0.45762625396594037,0.12600719868298974,0.4019880002932989,0.7748222102254536,0.31203886108646506,0.06065232730484642,0.22856847800154148
1,15,350,6,500,0.8057115245158721,0.5098830302670336,0.12038121324102956,0.38479248509668185,0.7701185420965833,0.3113762049669335,0.06092264978862403,0.22926157283634477
1,31,350,6,500,0.8106628584250068,0.5166243353649712,0.11960523079540271,0.3823354423195131,0.7700904977023072,0.31104152027806187,0.06102570272353605,0.22983584512183336
1,63,350,6,500,0.8106628584250068,0.5166243353649712,0.11960523079540271,0.3823354423195131,0.7700904977023072,0.31104152027806187,0.06102570272353605,0.22983584512183336
2,7,350,6,500,0.7876698789387437,0.44337490781360384,0.11293984527547364,0.3659465478033571,0.7656375722166244,0.17496142866623124,0.041529878418303336,0.16585570426877816
2,15,350,6,500,0.8179591855333558,0.49455104122890003,0.1079807189885094,0.3498735275178493,0.764257875266697,0.17182523824134685,0.04155274200851378,0.16574118839914131
2,31,350,6,500,0.8244042969331214,0.5007102480449535,0.10715948521478166,0.34676408749106913,0.7628842190214542,0.1747175578125438,0.04150837214889615,0.16568648261980867
2,63,350,6,500,0.8244042969331214,0.5007102480449535,0.10715948521478166,0.34676408749106913,0.7628842190214542,0.1747175578125438,0.04150837214889615,0.16568648261980867
3,7,350,6,500,0.8028196557031675,0.43014222418361026,0.10123282748366884,0.33224842878246075,0.8044926884017503,0.24926938671598428,0.06299040345813027,0.22546366141311375
3,15,350,6,500,0.8296453414733206,0.4801436384894196,0.09692797110816859,0.3179802065479812,0.8010543511348682,0.24300132972185207,0.06300983529485733,0.22561839526239325
3,31,350,6,500,0.8374363363335977,0.49325375840234126,0.09579728372394229,0.3138356256490302,0.8020388356282692,0.24045154643130745,0.06299494297940757,0.22499930084080594
3,63,350,6,500,0.8374363363335977,0.49325375840234126,0.09579728372394229,0.3138356256490302,0.8020388356282692,0.24045154643130745,0.06299494297940757,0.22499930084080594
4,7,350,6,500,0.8078892045345142,0.4186755887024223,0.09560956141332794,0.31597227026252767,0.7864239498485793,0.2645616960117498,0.05754013582665493,0.2130747533635487
4,15,350,6,500,0.8314376836309583,0.46508890381061563,0.09191471717232665,0.3034766500356971,0.7837224138490317,0.26447683917368386,0.05766108737095167,0.2135621653803228
4,31,350,6,500,0.8430418385179312,0.4841875839564861,0.09032593988773287,0.2975072307108609,0.7825113804699242,0.26462215009966394,0.05758446566143225,0.2135862189364295
4,63,350,6,500,0.8430418385179312,0.4841875839564861,0.09032593988773287,0.2975072307108609,0.7825113804699242,0.26462215009966394,0.05758446566143225,0.2135862189364295
5,7,350,6,500,0.810594120223344,0.40805719494673265,0.09082761953414246,0.3028763838340947,0.8027315657497804,0.24142439507282068,0.04912567577213459,0.1854135026282942
5,15,350,6,500,0.8325361323993148,0.4516407181022476,0.08752812782074844,0.2914333228106519,0.8037449611727581,0.24258565721601327,0.049136118995541496,0.18523612957851635
5,31,350,6,500,0.8440345423990895,0.4697210179369065,0.08606059052760476,0.28578672896429397,0.8030948215004323,0.23793842502740467,0.049238331148969715,0.18552218288425212
5,63,350,6,500,0.8447709664188109,0.47064256444751706,0.08599440723659449,0.2854217534745423,0.8025660934536614,0.23822519286812133,0.04923433878614637,0.1855643355387018
