fold,pvalue_rounds,actual_rounds,selected_features,max_pvalue,is_stable,removed_features,train_roc_auc,train_pr_auc,train_brier_score,train_log_loss,valid_roc_auc,valid_pr_auc,valid_brier_score,valid_log_loss
1,0,0,47,1.0,False,0,0.7230092424543921,0.3609355675759363,0.11414225582599886,0.3829975144836279,0.6792729806597578,0.23360360421059048,0.08267650989664928,0.3042800453595411
1,1,1,14,0.20492880052567497,False,33,0.7187636165953867,0.35374693061328755,0.11475522622751566,0.38502959783224494,0.6796031656945766,0.22896180981919362,0.07939164185031033,0.29122504655224685
1,2,2,11,0.00439757616726857,True,36,0.7174331851578326,0.35360240817537786,0.11482927138638384,0.3856102922083311,0.6773348746827526,0.22537237173234506,0.07910712099264602,0.28985307071414557
1,3,2,11,0.00439757616726857,True,36,0.7174331851578326,0.35360240817537786,0.11482927138638384,0.3856102922083311,0.6773348746827526,0.22537237173234506,0.07910712099264602,0.28985307071414557
1,4,2,11,0.00439757616726857,True,36,0.7174331851578326,0.35360240817537786,0.11482927138638384,0.3856102922083311,0.6773348746827526,0.22537237173234506,0.07910712099264602,0.28985307071414557
2,0,0,47,1.0,False,0,0.7254808503090291,0.34979927666192095,0.10692925386545434,0.36264650687977457,0.6653541079072994,0.2411540041665138,0.09463028487487843,0.3372943748471092
2,1,1,15,0.3210096495733725,False,32,0.7231485056307827,0.34573767019831936,0.1072489448750715,0.36354451362877005,0.6551813211387679,0.23823794168434498,0.0939809818386509,0.3323030487542517
2,2,2,12,0.03944113864748111,False,35,0.7232862871349113,0.34489674177931967,0.10733054104692936,0.3636898750906173,0.6522732458902673,0.23829622560159894,0.09399575780839343,0.33233056070795836
2,3,3,11,0.018404642956262388,False,36,0.7229124094472377,0.3446062374621311,0.10736001154498408,0.36388655771414463,0.6523316629699608,0.23703987992402867,0.09407896730447764,0.332542508483594
2,4,4,10,9.274509219652198e-06,True,37,0.7231892150669872,0.3442402187346412,0.10742624593245792,0.36406988715726224,0.6515119983205089,0.2359997062359508,0.09411299355344366,0.33236654958942163
3,0,0,47,1.0,False,0,0.7207652988902031,0.3403525501796812,0.10499330294189806,0.3577247259725013,0.6504305580654515,0.10413993189150225,0.045686866511328465,0.18742522663470457
3,1,1,13,0.023325986172619464,False,34,0.718322190364903,0.33695657151878133,0.10527626193415301,0.35877133366134356,0.6511492054953414,0.10411006779805355,0.04654268428356817,0.1919698439927439
3,2,2,12,0.00028005799043707497,True,35,0.7178445717488795,0.33650816877042855,0.10531969528210668,0.3589928666090256,0.6514223755710304,0.1056445638234662,0.04654273549233016,0.19195593415374454
3,3,2,12,0.00028005799043707497,True,35,0.7178445717488795,0.33650816877042855,0.10531969528210668,0.3589928666090256,0.6514223755710304,0.1056445638234662,0.04654273549233016,0.19195593415374454
