fold,alpha,C,selected_features,train_roc_auc,train_pr_auc,train_brier_score,valid_roc_auc,valid_pr_auc,valid_brier_score,train_log_loss,valid_log_loss
1,30.0,0.03333333333333333,29,0.7466713983880943,0.35974738447916693,0.10861520478358748,0.6882782785812978,0.2520209622382972,0.09438046235486378,0.3648188532429104,0.33357363886593294
1,60.0,0.016666666666666666,16,0.7447492994531654,0.3566750750862209,0.10911948474298541,0.6859316855468033,0.2522647007921128,0.094343162999119,0.3669496267138177,0.33362259194049576
1,100.0,0.01,13,0.7450230969986111,0.3550274585595743,0.10942663141154552,0.6987182120701697,0.25798322999284723,0.09462755738513667,0.36830917374157296,0.33544982051512506
1,150.0,0.006666666666666667,8,0.7446791965706249,0.3540013213454357,0.1097309870053846,0.698511716207655,0.25662721228398117,0.0951677988007411,0.36968466178911313,0.3378269575598662
1,220.0,0.004545454545454545,7,0.745766514236187,0.3548530298193252,0.11004994807874145,0.6959932234760929,0.2550130800226036,0.09560141243359516,0.37127604865705566,0.33944649044803754
1,330.0,0.0030303030303030303,7,0.7479810744710045,0.35632600092115957,0.1107468238096924,0.6953796821044849,0.253256586410247,0.09618118837604178,0.37443089805350643,0.3414645066043367
1,500.0,0.002,7,0.7509008943392645,0.3577023172972364,0.11231845752454302,0.6941477342755022,0.251378480976902,0.09716583332657233,0.38053665024425204,0.34478264869711867
1,750.0,0.0013333333333333333,6,0.7482231141789051,0.3546370500899074,0.11544745852075455,0.6897394260063701,0.24411033674170562,0.09956822607463449,0.39104763290100614,0.3534102584541318
1,1000.0,0.001,3,0.7458486668884539,0.3520516576951935,0.11915865509050384,0.6878685302467787,0.24116577308328682,0.10298594069071113,0.40257576996406663,0.3652793059523793
2,30.0,0.03333333333333333,32,0.740455482475316,0.3454515907580927,0.10539958192335121,0.6834570848423527,0.2337138964279164,0.0964561751236652,0.35673402556815226,0.3348343839323439
2,60.0,0.016666666666666666,22,0.7411215053353788,0.3444364295521037,0.10573670054102238,0.6957976075827194,0.24034931039893853,0.09642572280669294,0.35841412017654856,0.3344496235969121
2,100.0,0.01,12,0.742135092226753,0.3441438246335882,0.10607738043113124,0.6956762323429503,0.24067938382004056,0.09684719256610597,0.3600778246110552,0.33719362671301006
2,150.0,0.006666666666666667,9,0.7432125746918071,0.34398669378284014,0.10629269558275123,0.6969334466168904,0.24069085771874324,0.09710443063839368,0.3610958798427778,0.338615512881277
2,220.0,0.004545454545454545,8,0.7438650997460142,0.34368150752066506,0.1065886495372292,0.6974173575073235,0.24100544323956566,0.0973437904376085,0.3624750040182298,0.33978974958850305
2,330.0,0.0030303030303030303,7,0.7447462293611175,0.344035298186703,0.10711226274208455,0.6978169947596639,0.24236461922401314,0.09774249091991118,0.3648955718198251,0.34166958412403237
2,500.0,0.002,5,0.743470981692917,0.34315878312219583,0.10819316441406938,0.6970770828176652,0.24300218995797862,0.09834100135409096,0.36939334531571977,0.3443075409270835
2,750.0,0.0013333333333333333,4,0.7428097858627629,0.34208446636698275,0.11011949261538694,0.6944412790300157,0.2415313399034993,0.09988977255936927,0.37626652602071525,0.35120325953278814
2,1000.0,0.001,4,0.7409400090108134,0.3394252407824936,0.11269269616370803,0.6892348642690905,0.23783436661546759,0.102036335208429,0.3846429061709704,0.35962156870495576
3,30.0,0.03333333333333333,31,0.7338170598249097,0.3304975785277542,0.10395293998485818,0.6416102775326076,0.08123653530572526,0.044295811817944064,0.3529937496379238,0.18683560805977228
3,60.0,0.016666666666666666,23,0.7351091862212863,0.33035282227748475,0.10415270479884656,0.6431769147788564,0.08054886073148057,0.04434325447338392,0.35401024550513177,0.18796825473405485
3,100.0,0.01,16,0.7363778441835281,0.3301210506079868,0.10446473455723626,0.6417904775914485,0.07776188947116626,0.044570417638820296,0.35550981104204743,0.19041133772606456
3,150.0,0.006666666666666667,10,0.7380149807559477,0.3306631182447102,0.104660724798371,0.6379682749828381,0.07702834429200647,0.04527641134884989,0.3565288131037029,0.19553863221310372
3,220.0,0.004545454545454545,8,0.7387143349996346,0.33052327044207935,0.10493794694611279,0.6364004118858487,0.07716535976409952,0.0467380818461928,0.3578991946437368,0.20437923144529313
3,330.0,0.0030303030303030303,6,0.739060020068249,0.33065337231151276,0.10533501020588415,0.6339891634794547,0.07726068369575306,0.047663618281023105,0.3598272237639248,0.2098447135138864
3,500.0,0.002,5,0.7371645524468378,0.3294705744520257,0.10609653414046065,0.6352591448465236,0.07687249706525678,0.04828085434139853,0.3631318293516724,0.21340464277890145
3,750.0,0.0013333333333333333,3,0.7371028443449293,0.32916257851159575,0.10742391828627519,0.636268020005884,0.07669915748646998,0.050610898592690405,0.36833368045821424,0.22470098537539382
3,1000.0,0.001,3,0.7366747459796682,0.32825034877269466,0.10922024158244256,0.6355251544571933,0.07659122529941575,0.05346180354784961,0.3745999264746334,0.2370456847100306
4,30.0,0.03333333333333333,30,0.7402945083771748,0.318524632646755,0.09541696008933957,0.7932879149693309,0.24695629429871063,0.050366306832949403,0.32879948656763003,0.1938048099087775
4,60.0,0.016666666666666666,24,0.7409469420877176,0.31838666899321133,0.0955566516986919,0.7936449407688346,0.2482718052995626,0.050464765011605406,0.3295453174355631,0.19453324150393647
4,100.0,0.01,19,0.7413844255224558,0.31784123582304474,0.09581289099730426,0.791197460629614,0.24826587989793897,0.050657184874515704,0.33080790215773387,0.19597547605260227
4,150.0,0.006666666666666667,11,0.7426027115024336,0.31825898957497883,0.09598977849112687,0.7864761358492922,0.24620005234163775,0.05085685161829065,0.3318046583082018,0.19785487335357932
4,220.0,0.004545454545454545,8,0.7433449371489571,0.3179431434752172,0.09625782496562539,0.7831721839833934,0.24282289196292087,0.05107992301087024,0.33327985213308453,0.2008119923867471
4,330.0,0.0030303030303030303,7,0.743682823898292,0.31796800020054333,0.09665082242013691,0.790120530349144,0.2425093756839123,0.05166484562004053,0.3354491713600088,0.2072582679873499
4,500.0,0.002,4,0.7437695989882966,0.31761592299639935,0.09724386818472218,0.7915232710586693,0.24069819046618857,0.05342992323574421,0.3384555145718197,0.21956785818263785
4,750.0,0.0013333333333333333,3,0.7438177666034438,0.31761455904361335,0.09821159172736042,0.7911730736214512,0.23979196992311086,0.055452485038943754,0.342743530015783,0.2306782263808821
4,1000.0,0.001,3,0.7438823637987044,0.3175268815919867,0.0995004453325608,0.791123324124799,0.23760718478445988,0.05739358938549447,0.34792561741897887,0.24004218020717757
5,30.0,0.03333333333333333,30,0.7496609728225013,0.31270982779919765,0.08979340543217146,0.7520424148771782,0.2570687214406299,0.0958578279099102,0.31182655451182417,0.3275033382256866
5,60.0,0.016666666666666666,22,0.7503826832932048,0.3125761520328108,0.08991136164154577,0.7537411413651623,0.259602225607331,0.0962054309662046,0.3124122627772336,0.3294573261688868
5,100.0,0.01,18,0.7512284869040303,0.31261241413762386,0.0900758887014051,0.754855864016625,0.26101756243906116,0.09652966479706167,0.3133632518094064,0.3315723042466746
5,150.0,0.006666666666666667,13,0.7522245268261927,0.3131902052720482,0.09023917242810982,0.7540485959396814,0.2602646302377049,0.09690931716341444,0.31441605827702246,0.3339184716881475
5,220.0,0.004545454545454545,10,0.7528996382117895,0.3133399502370795,0.09048658244795658,0.7531219694143976,0.2593100226172639,0.09702328431090981,0.3159179124143624,0.33482518388629207
5,330.0,0.0030303030303030303,7,0.7523649449611325,0.31230218593960346,0.09088318280596165,0.7540837640539245,0.2580050527435706,0.09641694799252618,0.31823164300659373,0.33235925258604065
5,500.0,0.002,4,0.7529233972052619,0.31229031291508336,0.09134195359040317,0.7553071881494112,0.2578368920057323,0.09557746634850187,0.320908214399619,0.3298312085738442
