fold,pvalue_rounds,actual_rounds,selected_features,max_pvalue,is_stable,removed_features,train_roc_auc,train_pr_auc,train_brier_score,train_log_loss,valid_roc_auc,valid_pr_auc,valid_brier_score,valid_log_loss
1,0,0,47,1.0,False,0,0.7300208657821862,0.33749840775822226,0.11290054859512569,0.3899518969701551,0.6564505715242241,0.23107693999554507,0.10313647888936184,0.3678081194348308
1,1,1,20,0.8614103236156931,False,27,0.7216605827291265,0.3284409880032798,0.11390262863309847,0.39751319224600284,0.6653982734707542,0.24426321724251318,0.10301011225830259,0.3678425389895343
1,2,2,18,0.00045692894755522775,True,29,0.7216222981455593,0.328525117442201,0.11389919338262709,0.39749776448827145,0.6657091443875843,0.24425456815873214,0.10313254124573229,0.3682166565163199
1,3,2,18,0.00045692894755522775,True,29,0.7216222981455593,0.328525117442201,0.11389919338262709,0.39749776448827145,0.6657091443875843,0.24425456815873214,0.10313254124573229,0.3682166565163199
1,4,2,18,0.00045692894755522775,True,29,0.7216222981455593,0.328525117442201,0.11389919338262709,0.39749776448827145,0.6657091443875843,0.24425456815873214,0.10313254124573229,0.3682166565163199
2,0,0,47,1.0,False,0,0.7243343236738906,0.3277509487382445,0.10920435236961704,0.3785168726359849,0.6160748555968507,0.21071302157720395,0.11480566265646666,0.40849917197704244
2,1,1,19,0.45916011007434776,False,28,0.7214842670792504,0.3236802640643179,0.10973480368415753,0.3824093207752365,0.6272268978365272,0.21836875315906845,0.11385465838767558,0.40640871203672013
2,2,2,16,0.0002721438337617911,True,31,0.7212711231281206,0.32335223060316504,0.10974946762435667,0.38251725484141924,0.6453611560989462,0.2301598649674788,0.11380392241959966,0.4072744301885993
2,3,2,16,0.0002721438337617911,True,31,0.7212711231281206,0.32335223060316504,0.10974946762435667,0.38251725484141924,0.6453611560989462,0.2301598649674788,0.11380392241959966,0.4072744301885993
2,4,2,16,0.0002721438337617911,True,31,0.7212711231281206,0.32335223060316504,0.10974946762435667,0.38251725484141924,0.6453611560989462,0.2301598649674788,0.11380392241959966,0.4072744301885993
3,0,0,47,1.0,False,0,0.7150671735443275,0.3148879217529767,0.10990890139995171,0.3824716040630647,0.6562422137214381,0.1016959417905368,0.05565293299714728,0.22314363534869772
3,1,1,18,0.10736379471689084,False,29,0.7125196689192256,0.31231265864909574,0.11031816316114393,0.3860037063563043,0.6635411628486421,0.1016432268809007,0.05492431188644452,0.21923749528787445
3,2,2,16,0.04198289190734214,False,31,0.712469558085853,0.31235097372315596,0.11034072394208048,0.38621507856759985,0.6614929135704759,0.101843603652366,0.0550504454341656,0.2198337678534137
3,3,3,15,0.00021289492799902583,True,32,0.7118191322605649,0.31207680058300313,0.11035411279860421,0.38628839791319414,0.6609249732518431,0.10188593507297355,0.055075165308805,0.21998466881834622
3,4,3,15,0.00021289492799902583,True,32,0.7118191322605649,0.31207680058300313,0.11035411279860421,0.38628839791319414,0.6609249732518431,0.10188593507297355,0.055075165308805,0.21998466881834622
4,0,0,47,1.0,False,0,0.7195693456103913,0.30881597237863306,0.10483219288766042,0.366063046574708,0.76423054087406,0.2376302298877184,0.06284265317759473,0.2422010716941085
4,1,1,20,0.5923210040927768,False,27,0.7170036553063237,0.3062951223962769,0.10520550330844206,0.3691149107948003,0.766852837085846,0.23263174792248337,0.06342048469395746,0.24230116642472924
