fold,alpha,C,selected_features,train_roc_auc,train_pr_auc,train_brier_score,valid_roc_auc,valid_pr_auc,valid_brier_score,train_log_loss,valid_log_loss
1,30.0,0.03333333333333333,20,0.7280870675703428,0.38599356523414224,0.134494503757147,0.7598418296162825,0.3139365289486089,0.06251124468121509,0.4313735955221838,0.24410440701866903
1,60.0,0.016666666666666666,12,0.728189763002467,0.3848751617324657,0.13474953336912793,0.7714303965399449,0.31917205537308274,0.062275969929494523,0.4324510869389751,0.2434223389337767
1,100.0,0.01,8,0.7284008712919633,0.3846727168820775,0.13492870287278297,0.7760343512669444,0.32070894374154785,0.06264944604295532,0.43326202117691026,0.24570596537130898
1,150.0,0.006666666666666667,6,0.7284080071624062,0.38487658215687537,0.13509105355589177,0.7679793780220755,0.3173375660807108,0.06442484808078798,0.43404697176615403,0.25461546749602093
1,220.0,0.004545454545454545,4,0.7287372828477701,0.3851879232588712,0.13534813974225046,0.7608857042921167,0.31413635325333616,0.06677978491545275,0.43518988273887577,0.26503211422472406
1,330.0,0.0030303030303030303,3,0.7290834707643061,0.38563906299169975,0.13591386165067051,0.7650939214554418,0.3167715000325043,0.06809549118121407,0.4374579865087356,0.27099546362595134
1,500.0,0.002,3,0.7267724307413037,0.38503389257461856,0.13723595215523832,0.7716461825736809,0.3198162613549049,0.07049521842445769,0.44219870933780564,0.2809344045699133
1,750.0,0.0013333333333333333,2,0.7239114486050497,0.3839777102135483,0.13971587351972733,0.7744272516727312,0.3215256855056189,0.0753895302875646,0.4501356274939166,0.29878645036588314
1,1000.0,0.001,2,0.7233739451650474,0.3834612535649561,0.14290814476869285,0.774954642087313,0.3219933228451414,0.08173747054055382,0.45954186837596545,0.31941396227453844
2,30.0,0.03333333333333333,22,0.7495146935998078,0.3806829863927278,0.11991057620156734,0.7015227408368551,0.15248114280818306,0.043074508316193694,0.39165355998235546,0.17860344065051686
