id,run_id,bar_open_time,pred_long,pred_short,state_before,decision,reason,processed_at
327,run_20260609_090318_f862b5,2026-06-09 09:03:00,0.011848123097006029,0.042032686868300716,FLAT,HOLD,below_threshold long=0.012 short=0.042,2026-06-09 09:03:42
328,run_20260609_090318_f862b5,2026-06-09 09:04:00,0.011135897563077892,0.04767364604154219,FLAT,HOLD,below_threshold long=0.011 short=0.048,2026-06-09 09:04:10
329,run_20260609_090318_f862b5,2026-06-09 09:05:00,0.009971080869233866,0.05454852859145355,FLAT,HOLD,below_threshold long=0.010 short=0.055,2026-06-09 09:05:06
330,run_20260609_090318_f862b5,2026-06-09 09:06:00,0.008675862234721084,0.0439016803536385,FLAT,HOLD,below_threshold long=0.009 short=0.044,2026-06-09 09:06:09
331,run_20260609_090318_f862b5,2026-06-09 09:07:00,0.006882002540259108,0.0420133741895141,FLAT,HOLD,below_threshold long=0.007 short=0.042,2026-06-09 09:07:09
332,run_20260609_090318_f862b5,2026-06-09 09:08:00,0.00647752468449611,0.03604955058312715,FLAT,HOLD,below_threshold long=0.006 short=0.036,2026-06-09 09:08:09
333,run_20260609_090318_f862b5,2026-06-09 09:09:00,0.008476343236051925,0.05218637769593112,FLAT,HOLD,below_threshold long=0.008 short=0.052,2026-06-09 09:09:09
334,run_20260609_090318_f862b5,2026-06-09 09:10:00,0.009583738497416028,0.050523837492177134,FLAT,HOLD,below_threshold long=0.010 short=0.051,2026-06-09 09:10:09
335,run_20260609_090318_f862b5,2026-06-09 09:11:00,0.011014385192303683,0.03133380894749116,FLAT,HOLD,below_threshold long=0.011 short=0.031,2026-06-09 09:11:06
336,run_20260609_090318_f862b5,2026-06-09 09:12:00,0.010247224304302449,0.03788045761667857,FLAT,HOLD,below_threshold long=0.010 short=0.038,2026-06-09 09:12:10
337,run_20260609_090318_f862b5,2026-06-09 09:13:00,0.01095226295213301,0.034619503429115156,FLAT,HOLD,below_threshold long=0.011 short=0.035,2026-06-09 09:13:09
338,run_20260609_090318_f862b5,2026-06-09 09:14:00,0.009029644125204284,0.036485590811522195,FLAT,HOLD,below_threshold long=0.009 short=0.036,2026-06-09 09:14:09
339,run_20260609_090318_f862b5,2026-06-09 09:15:00,0.008428597731808355,0.03321349048735234,FLAT,HOLD,below_threshold long=0.008 short=0.033,2026-06-09 09:15:09
340,run_20260609_090318_f862b5,2026-06-09 09:16:00,0.009841083457002185,0.03759900166960429,FLAT,HOLD,below_threshold long=0.010 short=0.038,2026-06-09 09:16:09
341,run_20260609_090318_f862b5,2026-06-09 09:17:00,0.007126484168737827,0.02771460201170909,FLAT,HOLD,below_threshold long=0.007 short=0.028,2026-06-09 09:17:09
342,run_20260609_090318_f862b5,2026-06-09 09:18:00,0.007142606345399914,0.026736395501298697,FLAT,HOLD,below_threshold long=0.007 short=0.027,2026-06-09 09:18:09
343,run_20260609_090318_f862b5,2026-06-09 09:19:00,0.007095407639116372,0.02324523102705582,FLAT,HOLD,below_threshold long=0.007 short=0.023,2026-06-09 09:19:09
344,run_20260609_090318_f862b5,2026-06-09 09:20:00,0.00804123451377823,0.02817418681200148,FLAT,HOLD,below_threshold long=0.008 short=0.028,2026-06-09 09:20:09
345,run_20260609_090318_f862b5,2026-06-09 09:21:00,0.00900109343963537,0.033754680018077424,FLAT,HOLD,below_threshold long=0.009 short=0.034,2026-06-09 09:21:09
